키워드,평균최종가격,로켓배지개수,평균리뷰수,상품개수
장판,50765,18,469.00,36
중문,0,0,0.00,0
템바보드,45016,24,124.31,36
방문손잡이,15020,28,2002.64,36
무타공중문,80475,9,371.72,36
슬라이딩도어,136434,5,114.94,36
싱크대,142026,3,79.11,36
싱크볼,187641,21,103.14,36
욕실리모델링,524161,10,143.97,36
방음부스,256182,16,60.33,36
화장실리모델링,585225,11,313.00,36
샌드위치판넬,18645,1,9.67,36
데코타일,0,0,0.00,0
단열벽지,36416,20,1209.83,36
씽크대,172415,2,54.14,36
벽돌,18309,23,335.44,36
압축봉,14161,34,3715.36,36
합판,11336,12,99.78,36
도어스토퍼,11331,31,1119.72,36
3연동중문,496591,2,18.89,36
방부목,0,0,0.00,0
방화문,160244,4,149.78,36
시트지,16433,28,2369.67,36
철망,15332,5,133.69,36
인조잔디,106048,11,96.89,36
현관매트,22073,25,281.83,36
타일,10193,25,426.72,36
벽지,20140,23,729.92,36
폴딩도어,124633,1,69.06,35
가구손잡이,2125,26,170.64,36
문손잡이,10975,23,1953.86,36
강마루,31520,12,109.44,36
현관중문,349063,3,287.25,36
현관문,0,0,0.00,0
씽크볼,209747,18,103.06,36
걸레받이,11812,17,517.97,36
화장실인테리어,19303,35,1006.08,36
걸레받이몰딩,13974,13,396.17,36
창문시트지,15165,30,1241.89,36
강화마루,30365,8,68.33,36
전기판넬,14081,0,43.86,36
무타공슬라이딩도어,54354,3,68.17,36
터닝도어,155700,3,7.31,36
타일카페트,32804,28,172.64,36
경첩,2898,22,204.64,36
테이블다리,22623,14,64.97,36
방문교체,110441,6,759.86,36
골드폭스보드,44696,1,7.53,36
실크벽지,37566,18,544.28,36
합성데크,13307,2,19.08,36
석고보드,17447,4,189.42,36
원슬라이딩중문,736566,0,24.61,36
몰딩,8621,22,633.17,36
포세린타일,10440,10,71.61,36
현관코일매트,60411,17,134.86,36
싱크볼교체,251832,10,25.33,36
타일시트지,14816,31,396.03,36
미닫이문,80427,2,71.89,36
셀프장판,55786,21,589.17,36
아트월,52859,21,106.78,36
방음재,0,0,0.00,0
전선몰딩,8012,21,697.31,36
붙이는문,59993,8,224.72,36
붙이는벽지,30655,28,913.17,36
경첩렌치,0,0,0.00,0
인조대리석상판,0,0,0.00,0
데크타일,1484,26,1675.14,36
주방싱크대,0,0,0.00,0
책상다리,21207,18,102.39,36
바퀴,5138,23,2944.53,36
스펀지,0,0,0.00,0
인테리어필름,19384,24,742.92,36
몰딩시트지,8874,24,1326.03,36
각목,4972,6,35.50,36
다루끼,7427,4,27.19,36
방문,64417,14,1015.56,36
옷걸이봉,21763,31,1533.08,36
모자이크타일,8788,14,41.28,36
싱크대손잡이,2231,22,139.44,36
틱택타일,15669,17,151.92,36
폼블럭,38408,22,1074.83,36
손잡이,9508,29,1190.64,36
판넬,10731,5,86.61,36
욕실인테리어,24178,35,961.67,36
가구다리,5305,23,88.97,36
천장몰딩,11845,11,67.61,36
방수합판,17944,0,25.97,36
말발굽,11455,26,1249.94,36
폼블럭벽지,32493,19,910.83,36
접착식단열벽지,35345,20,1223.78,36
스텐파이프,8000,1,28.22,36
서랍레일,5017,16,232.33,36
꺽쇠,2808,27,109.61,36
강화도어손잡이,14120,21,40.22,36
의자바퀴,0,0,0.00,0
주방시트지,7656,31,677.89,36
방화문손잡이,11459,10,203.78,36
지붕자재,37781,1,32.36,36
점검구,19045,4,16.56,36
스티커벽지,19826,26,1247.61,36
간살중문,468082,0,54.06,36
주방타일시트지,13953,32,493.56,36
방부목데크,16318,2,74.56,36
셀프중문,143471,9,377.31,36
식탁다리,22864,13,91.78,36
템파보드,20847,21,126.19,36
아파트중문,448925,1,101.89,36
인조대리석,35119,10,85.22,36
욕실타일,12283,14,160.54,24
붙이는장판,16899,26,237.58,36
평철,1776,23,55.06,36
도배지,20733,18,884.56,36
모티스락,23375,4,15.81,36
중문스윙도어,494755,1,27.86,36
난방필름,0,0,0.00,0
적벽돌,11649,18,404.11,36
외벽마감재,21992,1,19.61,36
인조잔디매트,58860,13,126.22,36
유리시트지,12029,32,1262.00,36
가죽스티커,7454,26,723.92,36
쫄대,5984,23,866.56,36
액자레일,13496,29,448.19,36
템바보드루바월,34214,3,15.22,36
싱크대교체,353095,12,478.08,36
거울시트지,8743,19,504.89,36
화장실타일,10155,24,696.53,36
접착식데코타일,23980,18,354.50,36
소형싱크대,124248,6,50.58,36
인테리어벽돌,8361,22,269.22,36
방음벽,4888,24,212.92,36
메탈사이딩,13297,2,2.58,36
주방타일,20609,31,215.58,36
화장실문교체,65368,3,693.14,36
목재재단,11519,7,98.86,36
시트지제작,7234,7,951.28,36
방문스토퍼,5896,31,207.44,36
현관문시트지,17690,20,401.75,36
세라믹사이딩,42890,0,0.75,36
싱크대경첩,3186,24,239.39,36
개나리벽지,10480,2,185.31,36
액자걸이,0,0,0.00,0
베란다타일,0,0,0.00,0
붙이는템바보드,0,0,0.00,0
유리벽돌,20454,9,114.19,36
영림중문,804194,0,9.97,36
탬바보드,25655,15,172.58,36
오영민제작소,65931,7,14.94,36
목재,0,0,0.00,0
붙이는타일,15490,30,417.67,36
띠벽지,11192,18,579.53,36
메쉬망,22353,14,89.89,36
시멘트벽돌,10722,22,448.50,36
붙박이장손잡이,2829,24,133.17,36
샌드위치판넬가격,22755,0,9.19,36
방음벽지,11267,27,792.53,36
파벽돌,18242,4,76.67,36
루바,16426,2,32.56,36
바닥타일,7806,16,855.46,24
대리석시트지,18559,34,664.89,36
두꺼운장판,0,0,0.00,0
야자수매트,66845,4,306.50,36
스윙도어중문,799322,0,6.56,36
스티커타일,15966,32,294.94,36
중문슬라이딩도어,386366,0,53.03,36
포인트벽지,14687,25,484.42,36
합지벽지,0,0,0.00,0
자동중문,445329,4,38.31,36
합성목재,15837,3,39.61,36
씽크대하부장,194792,2,377.58,36
테라조타일,10426,18,115.44,36
자작나무합판,16279,17,30.75,36
강마루종류,43272,7,63.28,36
슬라이딩중문,384572,0,58.22,36
서랍손잡이,2260,25,184.61,36
현관문손잡이,0,0,0.00,0
pvc몰딩,8027,13,593.78,36
히노끼루바,22392,0,31.06,36
롤카페트,43473,20,347.14,36
싱크대시트지,14218,23,1395.28,36
장판매트,91435,20,2221.11,36
주방리모델링,293995,19,653.19,36
간이싱크대,105869,8,40.11,36
액자걸이와이어,7056,19,448.22,32
욕실바닥타일,12474,20,710.53,36
싱크대상판,58301,7,149.00,36
무타공도어스토퍼,13510,30,951.19,36
스폰지,0,0,0.00,0
벽돌가격,12596,18,340.39,36
투명시트지,0,0,0.00,0
벽인테리어,19604,28,262.39,36
단열현관문,54171,16,307.89,36
스텐망,9373,15,210.69,36
나무쫄대,3868,2,28.67,36
전기온돌판넬,33373,0,34.94,36
가죽시트지,9018,24,640.75,36
씽크대교체,500235,8,206.61,36
가구바퀴,5884,25,258.33,36
각재,6667,7,23.97,36
목봉,6795,19,156.25,36
osb합판,0,0,0.00,0
경첩보강판,1820,29,90.64,36
빠찌링,2109,27,103.14,36
주택현관문,224508,0,29.08,36
싱크대상판교체,72803,4,85.42,36
웨인스코팅,27478,22,67.78,36
화스너,0,0,0.00,0
crc보드,28929,1,202.20,35
서랍장손잡이,2831,21,150.89,36
시멘트사이딩,18693,3,67.22,36
단열시트지,28970,22,1054.06,36
글라스아트,14494,21,354.89,36
