키워드,순위,상품명,원가,최종가격,로켓배지,도착일,무료배송,리뷰수,포인트,재고현황,링크,이미지URL
장판,,"LX하우시스 장판 (폭183cm 길이 5M / 7m) 뉴청맥 1.8T 셀프 시공 친환경장판 모노륨 장판 초보자가능 거실 바닥 현관 베란다 사무실, CM-24731","77,500원","60,750원",,11/19(수) 도착 예정,Y,53,"3,038원",,https://www.coupang.com/vp/products/9009646211?itemId=26407938065&vendorItemId=93384044330&sourceType=srp_product_ads&clickEventId=ef8e9e60-c232-11f0-aab7-dca4f3409c92&korePlacement=15&koreSubPlacement=1&clickEventId=ef8e9e60-c232-11f0-aab7-dca4f3409c92&korePlacement=15&koreSubPlacement=1,
장판,1,"LX하우시스 (폭 181cm x 길이 1m) 무료재단 쉬운장판 장판 모노륨 펫트 셀프장판 친환경 거실 베란다 바닥 사무실 창고 상가 자투리장판 월세장판 전세장판 셀프시공, 성남 S1601","22,000원","14,730원",,11/22 도착 예정,Y,993,736원,,https://www.coupang.com/vp/products/8719601645?itemId=25327406652&vendorItemId=92322269772&q=장판&searchId=e201898e18212953&sourceType=search&itemsCount=36&searchRank=1&rank=1,
장판,2,단단애017 (폭1.8m x 길이6m) 창고장판 창고용장판 사무실장판 컨테이너장판 보양양판 임시장판 후로링장판 비닐장판 막장판 싸구려장판 준공용장판 후로링,,"42,900원",판매자로켓,내일(일) 도착 보장,Y,859,"2,145원",,https://www.coupang.com/vp/products/7417265099?itemId=19232909785&vendorItemId=86760556684&q=장판&searchId=e201898e18212953&sourceType=search&itemsCount=36&searchRank=2&rank=2,
장판,3,"데코리아 펫트 바닥 장판, 뜰마루1601",,"17,000원",로켓배송,내일(일) 도착 보장,Y,1022,808원,,https://www.coupang.com/vp/products/6656020050?itemId=15266862252&vendorItemId=82487426909&q=장판&searchId=e201898e18212953&sourceType=search&itemsCount=36&searchRank=3&rank=3,
장판,,LX하우시스 셀프장판 CM-22771 화이트장판 뉴청맥 1.8T 모노륨 (폭183cm X 길이5M 7M) 쉬운 시공 거실 바닥 현관 베란다 사무실,"77,500원","66,590원",,11/18(화) 도착 예정,Y,11,"3,330원",,https://www.coupang.com/vp/products/9006362648?itemId=26396763461&vendorItemId=93373025680&sourceType=srp_product_ads&clickEventId=ef8e9e60-c232-11f0-948e-25be1e2f364b&korePlacement=15&koreSubPlacement=5&clickEventId=ef8e9e60-c232-11f0-948e-25be1e2f364b&korePlacement=15&koreSubPlacement=5,
장판,,"장판 무료재단 LX하우시스 (폭)183cm x (길이)10m 1.8T 셀프시공 가정용 원룸용 대리석 원목무늬 바닥재 모노륨&펫트 장판, CM24083","165,000원","140,000원",,11/18(화) 도착 예정,Y,40,"7,000원",,https://www.coupang.com/vp/products/8340432782?itemId=24086426645&vendorItemId=92950204740&sourceType=srp_product_ads&clickEventId=ef8e9e60-c232-11f0-ac3c-44679b7ed589&korePlacement=15&koreSubPlacement=6&clickEventId=ef8e9e60-c232-11f0-ac3c-44679b7ed589&korePlacement=15&koreSubPlacement=6,
장판,4,단단애017 (폭1.5m x 길이12m) 창고장판 창고용장판 사무실장판 컨테이너장판 보양양판 임시장판 후로링장판 비닐장판 막장판 싸구려장판 준공용장판 후로링,"79,000원","71,760원",판매자로켓,내일(일) 도착 보장,Y,859,"3,588원",,https://www.coupang.com/vp/products/7417265099?itemId=24734717763&vendorItemId=93416255375&q=장판&searchId=e201898e18212953&sourceType=search&itemsCount=36&searchRank=6&rank=6,
장판,5,"LX하우시스 (폭 181cm x 길이 1m) 무료재단 쉬운장판 장판 모노륨 펫트 셀프장판 친환경 거실 베란다 바닥 사무실 창고 상가 자투리장판 월세장판 전세장판 셀프시공, 성남 S1816","27,000원","14,150원",,11/20(목) 도착 예정,Y,993,708원,,https://www.coupang.com/vp/products/8719601645?itemId=25327406601&vendorItemId=92322269425&q=장판&searchId=e201898e18212953&sourceType=search&itemsCount=36&searchRank=7&rank=7,
장판,,"시트몰이 비접착식 정사각형 데코타일, 16개, 그레이 스톤(SM-S01)","35,000원","2,000원",판매자로켓,내일(일) 도착 보장,Y,382,"1,600원",,https://www.coupang.com/vp/products/8518228750?itemId=24661650277&vendorItemId=91672077130&sourceType=srp_product_ads&clickEventId=ef8e9e60-c232-11f0-ad31-e1b9ab7d36c2&korePlacement=15&koreSubPlacement=9&clickEventId=ef8e9e60-c232-11f0-ad31-e1b9ab7d36c2&korePlacement=15&koreSubPlacement=9,
장판,6,"데코리아 모노륨 셀프 장판 TG ZONE, 한옥마루1816",,"29,690원",로켓배송,내일(일) 도착 보장,Y,2335,"1,410원",,https://www.coupang.com/vp/products/6626485462?itemId=15088468456&vendorItemId=82310593584&q=장판&searchId=e201898e18212953&sourceType=search&itemsCount=36&searchRank=9&rank=9,
