"신규진입
키워드",키워드,카테고리,"브랜드
키워드","쇼핑성
키워드",경쟁률,"최근
1개월
검색량","예상
1개월
검색량","예상1개월
검색량
상승률","최근
3개월
검색량","예상
3개월
검색량","예상3개월
검색량
상승률","작년
검색량","작년
최대검색
월","작년최대
검색월
검색량",계절성,"계절성
월","네이버
상품수","네이버
해외
상품수","네이버
평균가","네이버
경쟁강도","네이버
일반배송비율","네이버
해외배송비율","네이버
묶음상품비율","쿠팡
평균가","쿠팡
총리뷰수","쿠팡
최대리뷰수","쿠팡
평균리뷰수","쿠팡
로켓배송비율","쿠팡
판매자로켓
배송비율","쿠팡
일반배송비율","쿠팡
해외배송비율","쿠팡
해외배송
총리뷰수","쿠팡
해외배송
최대리뷰수","쿠팡
해외배송
평균리뷰수"
X,니카사스팀다리미,디지털/가전>생활가전,O,O,0.00,14120,0,,22905,0,,0,,0,없음,없음,67,35,267391,중간,40.00%,60.00%,2.50%,77561,52933,43305,1960,22.22%,25.93%,40.74%,11.11%,50,50,17
X,무아스스팀다리미,디지털/가전>생활가전,O,O,0.01,10620,0,,28230,1642089,5716.82%,5602,12,5489,있음,12,146,1,112500,높음,100.00%,0.00%,2.50%,92185,62170,43304,1726,27.78%,22.22%,41.67%,8.33%,50,50,17
X,끌리젠스팀다리미,디지털/가전>생활가전,O,O,0.01,8400,8346,-0.64%,16745,25921,54.80%,19734,5,2882,없음,없음,49,2,117934,중간,95.00%,5.00%,2.50%,62072,49497,43277,1833,33.33%,18.52%,48.15%,0.00%,0,0,0
X,무타공도어락들락날락,디지털/가전>생활가전,X,O,0.01,3210,0,,8867,0,,270,12,178,있음,"11,12",31,0,105241,높음,100.00%,0.00%,0.00%,97554,29457,6871,1091,81.48%,3.70%,14.81%,0.00%,0,0,0
O,다이소보풀제거기,디지털/가전>생활가전,O,X,0.01,3690,7686,108.29%,7193,28937,302.29%,90898,1,14126,없음,없음,25,6,19602,중간,76.00%,24.00%,0.00%,14811,86305,34264,3196,44.44%,33.33%,22.22%,0.00%,0,0,0
O,니카사진공스팀다리미,디지털/가전>생활가전,,O,0.01,2200,0,,3942,0,,0,,0,없음,없음,23,8,240460,중간,65.22%,34.78%,0.00%,77387,76452,43299,2831,37.04%,33.33%,11.11%,18.52%,0,0,0
O,니카사진공다리미,디지털/가전>생활가전,,X,0.01,2230,0,,2302,0,,0,,0,없음,없음,23,8,219520,중간,65.22%,34.78%,0.00%,148103,8473,4754,313,14.81%,11.11%,14.81%,59.26%,5,4,0
X,wd90f25ahs,디지털/가전>생활가전,X,O,0.03,7020,0,,20064,0,,0,,0,없음,없음,232,0,4202072,높음,100.00%,0.00%,2.50%,2437599,4102,2033,151,48.15%,3.70%,48.15%,0.00%,0,0,0
X,아카라k100,디지털/가전>생활가전,O,O,0.03,4110,4180,1.70%,14232,14819,4.12%,39828,5,8162,있음,"5,7,8,9,11",131,0,355347,중간,100.00%,0.00%,2.50%,280561,44530,29071,1649,7.41%,25.93%,55.56%,11.11%,0,0,0
X,벤큐헤일로2,디지털/가전>생활가전,,X,0.03,1660,0,,5364,0,,0,,0,없음,없음,44,24,338087,높음,42.50%,57.50%,0.00%,217450,3296,1791,103,59.38%,18.75%,12.50%,9.38%,0,0,0
O,w2520whm,디지털/가전>생활가전,,X,0.03,920,0,,1277,0,,0,,0,없음,없음,27,0,3108075,중간,100.00%,0.00%,0.00%,300261,1508,324,43,54.29%,20.00%,22.86%,2.86%,1,1,1
X,wf2522hdeee,디지털/가전>생활가전,,O,0.04,1900,0,,2197,0,,0,,0,없음,없음,67,0,2737610,높음,100.00%,0.00%,2.50%,2179344,14086,2237,402,0.00%,0.00%,100.00%,0.00%,0,0,0
X,클린디칫솔살균기,디지털/가전>생활가전,O,O,0.04,5080,8347,64.31%,15189,16953,11.61%,87184,1,15282,있음,"1,3,8,12",192,2,49043,중간,92.50%,7.50%,7.50%,40055,26176,8187,969,0.00%,70.37%,22.22%,7.41%,0,0,0
O,이븐라이프스팀다리미,디지털/가전>생활가전,O,O,0.04,1940,0,,2816,0,,,,,,,77,0,187501,높음,100.00%,0.00%,0.00%,114561,63487,43275,2189,27.59%,20.69%,48.28%,3.45%,6,6,6
X,wd90f25ahy,디지털/가전>생활가전,X,O,0.05,5650,0,,17528,0,,0,,0,없음,없음,277,0,1962584,높음,97.50%,2.50%,2.50%,2583098,6611,2080,244,55.56%,0.00%,44.44%,0.00%,0,0,0
O,tok나노q1무전기,디지털/가전>생활가전,,X,0.06,820,0,,820,0,,0,,0,없음,없음,48,0,71000,높음,100.00%,0.00%,2.50%,57980,233,68,8,0.00%,18.52%,74.07%,7.41%,32,16,16
O,삼성워시콤보,디지털/가전>생활가전,O,O,0.06,1860,2036,9.46%,5368,4527,-15.67%,20230,8,2272,없음,없음,107,0,3938820,중간,95.00%,5.00%,0.00%,3032618,9585,4024,355,48.15%,0.00%,48.15%,3.70%,141,141,141
