"신규진입 키워드","키워드","카테고리","브랜드 키워드","쇼핑성 키워드","경쟁률","최근 1개월 검색량","예상 1개월 검색량","예상1개월 검색량 상승률","최근 3개월 검색량","예상 3개월 검색량","예상3개월 검색량 상승률","작년 검색량","작년 최대검색 월","작년최대 검색월 검색량","계절성","계절성 월","네이버 상품수","네이버 해외 상품수","네이버 평균가","네이버 경쟁강도","네이버 일반배송비율","네이버 해외배송비율","네이버 묶음상품비율","쿠팡 평균가","쿠팡 총리뷰수","쿠팡 최대리뷰수","쿠팡 평균리뷰수","쿠팡 로켓배송비율","쿠팡 판매자로켓 배송비율","쿠팡 일반배송비율","쿠팡 해외배송비율","쿠팡 해외배송 총리뷰수","쿠팡 해외배송 최대리뷰수","쿠팡 해외배송 평균리뷰수"
"X","안경테","패션잡화>선글라스/안경테","X","O","65.38","32030","31776","-0.0079","111019","104941","-0.0547","571661","3","57410","없음","없음","2094274","687751","94623","높음","0.95","0.05","0.025","26082","20553","8913","761","0.2593","0.5185","0.1481","0.0741","91","56","46"
"X","오클리선글라스","패션잡화>선글라스/안경테","O","O","5.15","48940","43989","-0.1012","204836","127022","-0.3799","769392","5","105824","없음","없음","252107","133756","179887","높음","1","0","0.15","210322","189","100","7","0.037","0.5556","0.3704","0.037","9","9","9"
"X","크롬하츠안경","패션잡화>선글라스/안경테","O","X","0.05","32130","26423","-0.1776","99939","98565","-0.0137","446288","5","62190","없음","없음","1472","1073","1852020","높음","0.5","0.5","0.375","517004","526","95","19","0","0.2593","0.4444","0.2963","26","10","3"
"X","선글라스","패션잡화>선글라스/안경테","X","O","90.11","48440","44423","-0.0829","157297","95102","-0.3954","1037431","5","151760","없음","없음","4364717","2003939","135270","높음","0.925","0.075","0.175","13088","22511","8977","833","0.2222","0.7037","0.0741","0","0","0","0"
"X","안경","패션잡화>선글라스/안경테","X","X","36.34","98200","97471","-0.0074","266683","243076","-0.0885","919847","3","90848","없음","없음","3568210","1116445","89114","높음","0.95","0.05","0.075","20892","17822","8909","660","0.1852","0.4444","0.2593","0.1111","59","29","20"
"X","티타늄안경테","패션잡화>선글라스/안경테","X","O","12.93","16050","16035","-0.0009","54432","55882","0.0266","231845","1","23757","없음","없음","207485","75868","180822","높음","1","0","0","49302","1545","382","57","0.037","0.6667","0.2593","0.037","0","0","0"
"X","뿔테안경","패션잡화>선글라스/안경테","X","O","12.5","18750","18164","-0.0313","58084","61383","0.0568","368312","1","36976","없음","없음","234295","40513","109806","높음","1","0","0","12363","9017","5717","346","0.2308","0.6154","0.1538","0","0","0","0"
"X","블루라이트차단안경","패션잡화>선글라스/안경테","X","O","5.56","25740","25465","-0.0107","81483","84871","0.0416","404362","1","48123","없음","없음","143204","25166","78613","높음","1","0","0.025","19525","17493","8913","672","0.0769","0.6154","0.1538","0.1538","61","56","15"
"X","레이벤선글라스","패션잡화>선글라스/안경테","O","O","6.06","25450","22216","-0.1271","112117","66923","-0.4031","350302","5","52119","없음","없음","154335","101861","188425","높음","0.925","0.075","0.3","157266","444","214","16","0.0741","0.3333","0.5556","0.037","0","0","0"
"X","젠틀몬스터안경","패션잡화>선글라스/안경테","O","O","0.02","34050","35960","0.0561","117708","127580","0.0839","476217","3","47549","없음","없음","838","231","285225","높음","1","0","0.025","51424","5652","2021","209","0.2222","0.5556","0.1111","0.1111","64","64","21"
"X","몽벨선글라스","패션잡화>선글라스/안경테","O","X","0.06","28160","19751","-0.2986","141598","66176","-0.5326","66854","9","12589","있음","5,6,7,8,9","1602","1351","86281","높음","0.3","0.7","0.25","117451","8960","5207","331","0.1852","0.1481","0.2963","0.3704","3","1","0"
"X","안경케이스","패션잡화>선글라스/안경테","X","O","63.35","6750","6237","-0.076","24351","21821","-0.1039","101990","3","9603","없음","없음","427641","100934","10895","높음","0.975","0.025","0.3","8102","3565","1293","132","0.1111","0.5185","0.3704","0","0","0","0"
"X","안경코받침","패션잡화>선글라스/안경테","X","O","10.22","10460","5643","-0.4605","37904","28150","-0.2573","151319","10","14996","없음","없음","106854","13970","6759","높음","1","0","0.175","6887","10164","1998","376","0.0741","0.6296","0.2963","0","0","0","0"
"X","명품안경테","패션잡화>선글라스/안경테","X","O","27.56","4620","4518","-0.0221","13592","14862","0.0934","61755","1","6837","없음","없음","127306","31374","311286","높음","1","0","0.075","80963","382","155","14","0","0.1481","0.7778","0.0741","16","13","8"
"X","젠틀몬스터","패션잡화>선글라스/안경테","O","X","0.05","139000","129423","-0.0689","577704","461737","-0.2007","2936531","5","433470","없음","없음","7003","2305","305650","높음","1","0","0.05","84571","26101","8964","725","0.2222","0.5","0.1389","0.1389","0","0","0"
"X","셀린느선글라스","패션잡화>선글라스/안경테","O","X","2.29","15210","12832","-0.1563","77902","38495","-0.5059","496968","5","82545","없음","없음","34901","25493","514589","높음","0.825","0.175","0","534746","0","0","0","1","0","0","0","0","0","0"
"X","안경닦이","패션잡화>선글라스/안경테","X","O","8.21","8380","9154","0.0924","30767","40507","0.3166","136292","12","12848","없음","없음","68840","2992","8766","높음","1","0","0.125","7986","83332","23340","3086","0.3333","0.3333","0.3333","0","0","0","0"
