"신규진입 키워드","키워드","카테고리","브랜드 키워드","쇼핑성 키워드","경쟁률","최근 1개월 검색량","예상 1개월 검색량","예상1개월 검색량 상승률","최근 3개월 검색량","예상 3개월 검색량","예상3개월 검색량 상승률","작년 검색량","작년 최대검색 월","작년최대 검색월 검색량","계절성","계절성 월","네이버 상품수","네이버 해외 상품수","네이버 평균가","네이버 경쟁강도","네이버 일반배송비율","네이버 해외배송비율","네이버 묶음상품비율","쿠팡 평균가","쿠팡 총리뷰수","쿠팡 최대리뷰수","쿠팡 평균리뷰수","쿠팡 로켓배송비율","쿠팡 판매자로켓 배송비율","쿠팡 일반배송비율","쿠팡 해외배송비율","쿠팡 해외배송 총리뷰수","쿠팡 해외배송 최대리뷰수","쿠팡 해외배송 평균리뷰수"
"X","트렌치코트","패션의류>여성의류>코트","X","O","30.66","27670","29034","0.0493","44108","43639","-0.0106","370878","3","108123","있음","3,10","848496","335641","176383","높음","0.925","0.075","0.825","38568","88","19","3","0.037","0.1852","0.1111","0.6667","30","12","2"
"X","코트","패션의류>여성의류>코트","X","X","390.4","19980","44654","1.2349","44166","192747","3.3641","460307","12","93244","있음","1,2,11,12","7800172","3443876","171910","높음","0.925","0.075","0.875","38511","688","148","25","0.1111","0.7037","0.1481","0.037","20","20","20"
"X","캐시미어코트","패션의류>여성의류>코트","X","O","34.28","10780","25426","1.3586","21529","119187","4.5361","274766","12","75260","있음","1,11,12","369558","196189","564283","높음","1","0","0.8","174558","927","353","34","0.037","0.1481","0.5185","0.2963","91","65","11"
"X","막스마라코트","패션의류>여성의류>코트","O","O","7.63","26940","49819","0.8493","53455","232093","3.3418","387934","12","95741","있음","1,11,12","205465","117418","1704910","높음","0.8","0.2","0.55","1629843","0","0","0","1","0","-0.1563","0.1563","0","0","0"
"X","버버리트렌치코트","패션의류>여성의류>코트","O","O","1.84","19650","19628","-0.0011","34105","30051","-0.1189","245287","3","75037","있음","3","36081","18079","864466","높음","0.1","0.9","0","2495972","0","0","0","1","0","0","0","0","0","0"
"X","케이프코트","패션의류>여성의류>코트","X","O","13.49","6360","13004","1.0447","10255","39409","2.8429","117182","11","28670","있음","1,10,11,12","85791","48545","293376","높음","0.9","0.1","0.7","38445","290","238","8","0.0556","0.1389","0.1111","0.6944","35","10","1"
"X","쉬즈미스코트","패션의류>여성의류>코트","O","O","2.44","3720","12641","2.3981","7370","67326","8.1351","117559","1","25447","있음","1,2,11,12","9081","20","91299","높음","1","0","0.975","97088","19","9","0","0","0","0.8889","0.1111","3","2","1"
"X","여성트렌치코트","패션의류>여성의류>코트","X","O","256.07","2480","1819","-0.2665","3666","2203","-0.3991","66838","3","24705","있음","3","635055","241353","177829","높음","0.9","0.1","0.825","42607","195","50","7","0.0741","0.1852","0","0.7407","57","14","3"
"X","핸드메이드코트","패션의류>여성의류>코트","X","O","39.43","4570","13167","1.8812","7994","46665","4.8375","187503","11","41227","있음","1,2,10,11,12","180187","36179","138853","높음","1","0","0.775","116417","111","85","3","0","0.0645","0.7097","0.2258","19","10","3"
"X","시슬리코트","패션의류>여성의류>코트","O","O","3.95","2780","8060","1.8993","5369","49017","8.1296","84634","12","22428","있음","1,11,12","10979","263","192595","높음","1","0","0.925","153887","12","10","0","0","0","0.8387","0.1613","10","10","2"
"X","모조에스핀코트","패션의류>여성의류>코트","O","O","1.52","2380","5021","1.1097","5139","23750","3.6215","64491","12","13683","있음","1,2,11,12","3614","19","533213","높음","1","0","0.9","503684","0","0","0","0","0","1","0","0","0","0"
"X","톰보이코트","패션의류>여성의류>코트","X","O","2.04","6910","16395","1.3726","12105","71690","4.9223","188156","11","43138","있음","1,2,11,12","14077","645","256576","높음","1","0","0.875","136139","72","57","2","0","0.0938","0.5938","0.3125","0","0","0"
"X","하프트렌치코트","패션의류>여성의류>코트","X","X","37.7","3910","2728","-0.3023","5709","3442","-0.3971","42554","3","17411","있음","3","147412","50818","177481","높음","0.975","0.025","0.65","43211","433","248","16","0.2593","0.2222","0.1852","0.3333","278","248","31"
"X","캐시미어100코트","패션의류>여성의류>코트","X","O","5.14","4010","9596","1.393","7622","45083","4.9149","67910","12","18387","있음","1,11,12","20616","11170","771888","높음","0.9","0.1","0.4","390510","103","85","3","0","0.037","0.6296","0.3333","0","0","0"
"X","여성코트","패션의류>여성의류>코트","X","O","1345.96","3260","9746","1.9896","5419","56016","9.337","202132","12","50160","있음","1,2,11,12","4387827","1936429","267696","높음","0.95","0.05","0.775","35938","341","92","11","0.0968","0.2258","0.129","0.5484","133","92","8"
"X","트렌치코트여성","패션의류>여성의류>코트","X","O","176.68","3620","7456","1.0597","5646","12126","1.1477","1318","3","505","있음","3,10","639586","243491","195996","높음","0.9","0.1","0.825","41475","408","95","15","0.1852","0.1852","0.1111","0.5185","288","95","21"
"X","잇미샤코트","패션의류>여성의류>코트","O","O","1.08","4560","14082","2.0882","8786","69777","6.9418","140631","12","40233","있음","1,11,12","4936","260","222901","높음","1","0","0.925","180942","7","5","0","0","0","0.7586","0.2414","6","5","1"
"X","숏트렌치코트","패션의류>여성의류>코트","X","O","28.84","3130","1997","-0.362","4478","2546","-0.4314","36850","3","13839","있음","3","90254","40773","87154","높음","0.975","0.025","0.9","39865","124","87","4","0.037","0.1481","0.037","0.7778","5","5","0"
"X","듀엘코트","패션의류>여성의류>코트","O","O","1.5","2510","6059","1.4139","5593","27150","3.8543","64850","12","13975","있음","1,2,11,12","3776","50","219834","높음","1","0","0.975","223283","25","9","0","0","0","0.6944","0.3056","25","9","2"
