Keyword,AvgFinalPrice,RocketBadgeCount,AvgReviewCount,NumItems
장우산,12319,24,1776.28,36
스카프,12005,28,142.11,36
키링,11162,33,199.86,36
넥타이,14889,25,461.14,36
텔레토비키링,29184,6,16.14,35
귀멸의칼날키링,9556,16,25.22,36
키캡키링,9384,23,16.94,36
압박스타킹,0,0,0.00,0
갓,6585,5,196.39,36
양산,13391,30,2082.36,36
실크스카프,20461,29,215.64,36
우산,15408,25,1764.61,36
일륜도키링,8091,9,14.81,36
포치타키링,14711,11,9.67,36
체인소맨키링,9969,11,2.64,36
키홀더,11424,22,401.17,36
노리개,6575,28,80.67,36
와펜,9078,29,90.03,36
명품스카프,45805,15,68.39,36
쁘띠스카프,10771,23,219.14,36
레제키링,11348,4,11.47,36
손수건,12348,24,771.06,36
혼주넥타이,21765,19,58.92,36
머플러,12028,32,395.31,36
라이터,11067,25,334.86,36
캐시미어머플러,39805,23,147.67,36
인형키링,0,0,0.00,0
퍼글러,20675,11,14.64,36
귀칼키링,9796,18,26.53,36
키티키링,11529,19,23.17,36
케데헌굿즈,11914,17,11.81,36
3단자동우산,13325,26,1723.72,36
담배케이스,8781,19,501.83,36
키보드키링,8150,20,17.44,36
자동차키링,9987,23,263.39,36
키링인형,10140,27,182.08,36
터보라이터,12983,17,244.11,36
스카프링,12498,24,82.28,36
3단우산,10613,25,824.28,36
노리개키링,8434,29,41.81,36
방도스카프,16166,26,81.89,36
자동우산,12790,27,869.11,36
목도리,0,0,0.00,0
태닝키티,12115,9,15.03,36
양우산,12419,31,1056.44,36
귀멸의칼날우산,37606,8,62.06,36
숄,17831,26,63.89,36
귀멸의칼날일륜도키링,9206,13,11.94,36
거꾸로우산,14953,25,480.67,36
우양산,10658,30,1337.11,36
넥타이핀,14046,25,92.58,36
어부바니트,16668,21,79.81,36
립밤키링,6806,17,27.61,36
키링부자재,1887,29,141.14,36
가을스카프,13351,26,211.67,36
가방키링,8821,27,264.61,36
명품넥타이,68834,19,109.53,36
대형우산,15459,18,732.08,36
접이식우산,12512,25,1338.31,36
자동넥타이,16553,28,399.19,36
더피호랑이,15102,9,7.17,36
패션링스카프,13514,18,135.08,36
더피키링,10251,15,4.75,36
키링만들기,13626,21,84.44,36
성냥,5992,13,162.58,36
롱다리키티,11798,6,8.47,36
갓키링,8814,8,3.66,35
아크네목도리,322500,4,0.75,4
태닝키티키링,13221,12,11.78,36
열쇠고리,5281,25,182.00,36
트윌리스카프,12852,23,74.33,36
키링제작,6927,8,99.58,36
경량장우산,23045,26,386.81,36
스카프추천,16479,23,183.42,36
가죽키링,6961,15,265.22,36
플리츠스카프,12285,18,55.67,36
남자명품넥타이,103028,19,31.92,36
굿즈제작,12476,5,47.33,36
여성스카프,12186,24,210.39,36
어깨숄,15716,24,87.11,36
체인소맨레제키링,10122,7,11.61,36
wpc우양산,33287,23,56.78,36
이니셜키링,6202,10,301.17,36
패트와매트,13528,9,22.17,36
한교동,14751,20,65.08,36
네잎클로버키링,7679,23,35.31,36
롱스카프,13152,18,152.28,36
퍼글러키링,16413,7,9.67,36
남자넥타이,18020,27,305.75,36
땡땡이스카프,7732,17,109.28,36
갓모자,12078,5,14.42,36
자석스카프,12307,17,164.39,36
아크릴키링제작,7178,6,30.11,36
페이즐리스카프,11116,22,143.58,36
그로밋키링,11261,13,64.58,36
팬티스타킹,14513,26,1656.36,36
락커키링,7154,14,45.03,36
경량우산,0,0,0.00,0
키티,17654,23,142.36,36
방도,14812,25,130.36,36
한복노리개,9410,20,38.33,36
방풍라이터,0,0,0.00,0
초경량우산,13592,25,784.11,36
f1키링,11677,9,22.47,36
베비치치,22714,0,1.50,36
링스카프,15266,18,105.17,36
반다나스카프,0,0,0.00,0
무이치로키링,7631,15,21.94,36
부채,6331,20,312.53,36
투명우산,10605,20,595.22,36
수심,80651,9,24.08,36
캐시미어목도리,31273,26,232.25,36
곰돌이키링,10576,29,145.89,36
트윌리,24695,25,75.14,36
면스카프,11459,26,193.47,36
슈가바니즈,12540,6,7.94,36
비즈꽃다발,18860,26,226.39,36
쁘넥도,0,0,0.00,0
댕기,11733,25,33.83,36
퍼글러인형,28462,8,50.83,36
토끼키링,8607,28,35.33,36
거북이키링,8949,18,17.28,36
짱부부,33261,4,6.97,36
블랙키티키링,12188,17,11.92,36
우사하나,11447,22,33.39,36
케데헌키링,11549,15,7.19,36
케로로키링,10813,14,42.22,36
주댕치,17724,2,3.03,36
자개키링,7140,12,11.56,36
강아지키링,7887,28,95.19,36
라브브인형,28047,2,40.56,36
스카프브랜드,42504,20,124.86,36
전기라이터,16383,18,304.31,36
명품키링,267246,23,32.50,36
남자스카프,22767,20,124.58,36
카드라이터,15286,11,208.33,36
플라즈마라이터,0,0,0.00,0
담배파이프,40880,9,26.86,36
수영키링,8453,16,24.72,36
캐시미어숄,41696,19,43.56,36
고양이키링,9867,29,44.47,36
종아리압박밴드,15483,31,2491.47,36
비즈키링,11121,27,37.69,36
판초,24562,27,191.92,36
귀멸의칼날칼키링,12143,11,10.58,36
캐시미어100머플러,67698,17,50.56,36
모남희키링,31978,12,17.97,36
완전자동우산,15138,21,937.08,36
