Keyword,Rank,Name,OriginalPrice,FinalPrice,RocketBadge,Arrival,FreeShipping,ReviewCount,Points,StockStatus,Link,ImgUrl
장우산,,파밀로 남녀공용 파스텔 16K 튼튼한 자동 장우산,"22,300원","8,900원",로켓배송,내일(목) 도착 보장,Y,7165,445원,,https://www.coupang.com/vp/products/6568185625?itemId=14733408372&vendorItemId=81973965327&sourceType=srp_product_ads&clickEventId=054910c0-bfac-11f0-8d4e-50237ec4199b&korePlacement=15&koreSubPlacement=1&clickEventId=054910c0-bfac-11f0-8d4e-50237ec4199b&korePlacement=15&koreSubPlacement=1,
장우산,1,지브라 75사이즈 자외선 차단 대형 골프 장우산,"21,800원","10,900원",로켓배송,내일(목) 도착 보장,Y,7374,545원,,https://www.coupang.com/vp/products/1890351069?itemId=3211973019&vendorItemId=71199300491&pickType=COU_PICK&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=1&rank=1,
장우산,2,코멧 99% 자외선(UV) 차단 자동 골프 장우산,"22,850원","10,330원",로켓배송,내일(목) 도착 보장,Y,3222,475원,,https://www.coupang.com/vp/products/6451341040?itemId=14007293349&vendorItemId=81255919715&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=2&rank=2,
장우산,3,공유 소프트 16K 튼튼한 자동 대형 장우산,"17,800원","8,900원",로켓배송,내일(목) 도착 보장,Y,258,445원,,https://www.coupang.com/vp/products/8643052739?itemId=25084542073&vendorItemId=92135795370&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=3&rank=3,
장우산,,드쇼퍼 튼튼한 파스텔 장우산 양산,"27,600원","12,700원",판매자로켓,내일(목) 도착 보장,N,197,635원,,https://www.coupang.com/vp/products/8151017195?itemId=23196848275&vendorItemId=90229477879&sourceType=srp_product_ads&clickEventId=054910c0-bfac-11f0-ad5c-410b96618de1&korePlacement=15&koreSubPlacement=5&clickEventId=054910c0-bfac-11f0-ad5c-410b96618de1&korePlacement=15&koreSubPlacement=5,
장우산,,아일루미 튼튼한 물받이 우산 빗물받이 캡커버,"70,000원","16,800원",,내일(목) 도착 보장,Y,71,840원,,https://www.coupang.com/vp/products/8669502359?itemId=25165645784&vendorItemId=92153319401&sourceType=srp_product_ads&clickEventId=054910c0-bfac-11f0-aa6f-5bb267559890&korePlacement=15&koreSubPlacement=6&clickEventId=054910c0-bfac-11f0-aa6f-5bb267559890&korePlacement=15&koreSubPlacement=6,
장우산,4,WEEVE 프리미엄 고급 대형 장우산 24k,"30,900원","13,900원",로켓배송,내일(목) 도착 보장,Y,3129,695원,,https://www.coupang.com/vp/products/6572722541?itemId=14759918487&vendorItemId=82000206085&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=6&rank=6,
장우산,5,1+1 델리안 고급 튼튼한 방수 자동 장우산,"25,000원","10,000원",,모레(금) 도착 예정,Y,164,500원,,https://www.coupang.com/vp/products/8131228269?itemId=25382055282&vendorItemId=92475562462&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=7&rank=7,
장우산,,카르페디엠 파스텔 16살대 곡자 장우산 062,"26,000원","10,900원",로켓배송,내일(목) 도착 보장,Y,453,545원,,https://www.coupang.com/vp/products/7937576909?itemId=21852065163&vendorItemId=88900314583&sourceType=srp_product_ads&clickEventId=054937d0-bfac-11f0-84c0-b19e764d8c0a&korePlacement=15&koreSubPlacement=9&clickEventId=054937d0-bfac-11f0-84c0-b19e764d8c0a&korePlacement=15&koreSubPlacement=9,
장우산,6,미치코런던 60우드 장우산 046,"34,000원","13,600원",로켓배송,내일(목) 도착 보장,Y,3096,680원,,https://www.coupang.com/vp/products/6429693954?itemId=13870712862&vendorItemId=81120589922&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=9&rank=9,
