키워드,평균최종가격,로켓배지개수,평균리뷰수,상품개수
머리띠,9436,31,1102.94,36
헤어밴드,7585,25,1620.03,36
바나나핀,9241,33,62.56,36
집게핀,9327,33,537.92,36
헤어핀,7040,26,665.53,36
정수리가발,25074,26,155.33,36
앞머리가발,0,0,0.00,0
머리끈,6483,33,1013.67,36
가발,21314,26,119.50,36
리본핀,9014,32,127.03,36
비녀,8087,27,60.33,36
머리핀,8158,31,412.50,36
루미가발,37522,13,16.31,36
정수리부분가발,0,0,0.00,0
스크런치,8198,30,158.08,36
부분가발,18579,29,171.61,36
헤어집게핀,9317,31,767.25,36
미니집게핀,9951,34,110.69,36
곱창머리끈,10065,31,171.78,36
똑딱핀,5856,24,317.22,36
곱창밴드,10405,30,182.89,36
바나나클립,9170,33,85.44,36
남자가발,29066,13,32.39,36
벨벳머리띠,8845,29,26.67,36
웨딩베일,10616,30,39.53,36
고무줄,6500,29,577.36,36
리본집게핀,10642,34,117.58,36
똥머리가발,9423,29,164.86,36
반묶음집게핀,9338,33,134.64,36
플로라밤비,73506,7,133.47,36
왕리본핀,8176,24,152.47,36
반머리집게핀,9753,31,195.67,36
혼주뒤꽂이,10061,11,36.03,36
로우번가발,9770,29,67.50,36
머리망,7095,29,227.50,36
헤어스크런치,10344,31,107.58,36
넓은머리띠,8941,26,202.08,36
할로윈머리핀,7317,33,15.61,36
여자부분가발,20678,31,337.97,36
붙임머리,21682,27,146.39,36
실핀,5076,21,255.11,36
고양이머리띠,0,0,0.00,0
헤어끈,7302,30,433.36,36
한복뒤꽂이,13238,14,23.25,36
모자가발,21411,26,31.08,36
리본머리끈,7730,30,118.94,36
케데헌가발,45384,12,21.60,35
프랑스핀,8450,23,54.44,36
여성가발,76631,24,159.81,36
빗핀,8452,21,34.42,36
통가발,63236,22,55.14,35
면사포,9388,33,59.83,36
인모정수리가발,43314,26,209.31,36
머리집게핀,7381,31,667.97,36
벨벳리본핀,11990,22,45.83,36
반묶음머리핀,7519,27,161.78,36
집게가발,12594,29,104.17,36
명품머리핀,131869,23,77.36,36
프랑스집게핀,12133,30,64.39,36
머리끈고무줄,5846,28,1631.53,36
루미머리,29162,15,259.11,36
남자머리띠,7006,24,1229.58,36
니트헤어밴드,11526,18,103.22,36
프롬플로,9510,20,1207.31,36
반다나헤어밴드,7751,25,230.50,36
명품머리띠,101673,21,40.67,36
곱창끈,10173,32,149.58,36
집게머리띠,7565,22,148.44,36
옆머리핀,8207,33,76.78,36
옷핀헤어핀,7452,14,18.92,36
남자앞머리가발,23228,13,27.19,36
긴머리가발,0,0,0.00,0
남자부분가발,47225,12,117.36,36
얇은머리띠,7448,21,59.47,36
올림머리가발,12639,16,212.50,36
인모헤어피스,36650,16,132.89,36
은비녀,59727,4,5.64,36
제시카헤어큐,61969,9,117.42,36
여자가발,36876,26,155.86,36
웨딩헤어장식,12250,26,48.50,36
머리고무줄,6101,29,2011.97,36
인모가발,48001,20,196.86,36
가발망,5424,19,113.44,36
u자비녀,7278,27,71.22,36
올림머리집게핀,9735,23,317.47,36
바나나핀대형,9832,26,37.44,36
반머리핀,8142,30,135.86,36
항암가발,105682,16,86.08,36
왕관,11662,26,150.89,36
웨딩헤어밴드,13681,28,41.50,36
대용량머리끈,7685,21,678.47,36
뒤꽂이,10685,19,46.42,36
바나나집게핀,0,0,0.00,0
반가발,14973,31,53.75,36
명품헤어핀,488693,29,79.69,36
작은집게핀,9940,31,227.19,36
남자통가발,43091,17,30.44,36
앞머리핀,9690,32,370.03,36
호피머리띠,8795,28,52.28,36
진주머리끈,7014,21,91.08,36
남자정수리가발,58065,17,116.44,36
스프링머리끈,0,0,0.00,0
혼주머리뒤꽂이,10681,11,31.14,36
항암모자가발,55874,17,40.28,36
올림머리핀,7830,25,127.31,36
벨벳곱창밴드,0,0,0.00,0
큐빅머리띠,9482,24,91.42,36
가발거치대,15704,11,89.17,36
머리핀정리대,9875,31,80.64,36
가발집게핀,0,0,0.00,0
mcrn스트랩,9433,32,845.33,36
볼륨핀,9483,7,1154.89,9
단발가발,25937,26,55.19,36
묶음머리가발,11971,29,108.17,36
헤어라인가발,44290,11,45.42,36
대형집게핀,8637,29,280.42,36
반머리헤어핀,7770,29,149.11,36
명품집게핀,9713,29,44.44,36
똥머리밴드,7310,20,292.03,36
한복비녀,9691,7,10.53,36
큐빅머리핀,9671,25,73.64,36
빈티지펌,15857,16,206.94,36
앞머리집게핀,8113,32,575.22,36
꽃머리띠,6824,22,47.72,36
진주머리띠,9745,25,43.78,36
넓은헤어밴드,7241,28,211.92,36
면헤어밴드,0,0,0.00,0
삐삐숑,15964,20,344.75,36
한복머리장식,9557,21,55.33,36
여자정수리가발,42675,28,302.92,36
검정고무줄,0,0,0.00,0
예쁜헤어핀,11085,19,187.53,36
마리떼머리띠,13897,28,84.53,36
명품머리끈,8263,27,110.86,36
와이드헤어밴드,6209,30,877.47,36
똥머리집게핀,9359,21,115.17,36
비녀핀,7909,29,46.61,36
바나나삔,9248,30,70.47,36
여성정수리가발,29420,31,225.61,36
벨벳집게핀,10708,26,50.06,36
댕기스크런치,10409,20,22.94,36
피플앤제이,10639,7,104.19,36
왕리본집게핀,9897,27,134.36,36
귀안아픈머리띠,10595,33,506.92,36
바나나헤어클립,9167,32,54.67,36
자동핀,8121,29,84.36,36
헤어곱창,9336,31,150.14,36
호신용비녀,20798,18,20.64,36
