Name,Price,Link,Img_url
"맛통령 프리미엄 레몬, 1박스, 레몬 4kg 40개내외","91,900원",https://www.coupang.com/vp/products/8297660551?itemId=23933982547&vendorItemId=90955976939&sourceType=srp_product_ads&clickEventId=254ca940-b6f1-11f0-a02d-7faa7e312c60&korePlacement=15&koreSubPlacement=1&clickEventId=254ca940-b6f1-11f0-a02d-7faa7e312c60&korePlacement=15&koreSubPlacement=1,
"농장에서바로 팬시레몬, 100g, 20개","18,900원",https://www.coupang.com/vp/products/8188003692?itemId=24462200556&vendorItemId=91475505492&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=1&rank=1,
"팜플러스 상큼한 팬시 레몬, 개당 100g 내외, 22개","10,500원",https://www.coupang.com/vp/products/7393984196?itemId=25092352230&vendorItemId=78698388686&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=2&rank=2,
"레몬(Lemon) 3kg, 1박스, 3  kg","17,000원",https://www.coupang.com/vp/products/8959661454?itemId=26512446205&vendorItemId=93486982520&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=3&rank=3,
"과일통통배 최상급 프리미엄 칠레산 생레몬 20과 대과, 1박스, 레몬 특대과 20개(2박스구매+4알추가/합배송)","33,000원",https://www.coupang.com/vp/products/8926814422?itemId=26092744330&vendorItemId=91969663909&sourceType=srp_product_ads&clickEventId=254cd050-b6f1-11f0-8a14-23cf22ea3fa8&korePlacement=15&koreSubPlacement=5&clickEventId=254cd050-b6f1-11f0-8a14-23cf22ea3fa8&korePlacement=15&koreSubPlacement=5,
"썬키스트 팬시레몬, 17kg, 1박스","68,800원",https://www.coupang.com/vp/products/4873375308?itemId=25445579811&vendorItemId=93422593711&sourceType=srp_product_ads&clickEventId=254cd050-b6f1-11f0-97bd-2e499d05e203&korePlacement=15&koreSubPlacement=6&clickEventId=254cd050-b6f1-11f0-97bd-2e499d05e203&korePlacement=15&koreSubPlacement=6,
"장보남 레몬 5kg 45-60과내외, 1박스","31,900원",https://www.coupang.com/vp/products/8295692145?itemId=23926995038&vendorItemId=90949167885&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=6&rank=6,
"[단2주오픈특가]자연그대로 껍질째 유기농 제주 레몬, 1박스, 2kg","45,900원",https://www.coupang.com/vp/products/9143400089?itemId=26915885582&vendorItemId=93885233191&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=7&rank=7,
"팜플러스 상큼한 팬시 레몬, 개당 100g 내외, 22개","10,500원",https://www.coupang.com/vp/products/7393984196?itemId=25092352230&vendorItemId=78698388686&sourceType=srp_product_ads&clickEventId=254cd050-b6f1-11f0-922d-820d25f75e59&korePlacement=15&koreSubPlacement=9&clickEventId=254cd050-b6f1-11f0-922d-820d25f75e59&korePlacement=15&koreSubPlacement=9,
"장보남 레몬 2kg 18-25과내외, 1박스","13,500원",https://www.coupang.com/vp/products/8295692145?itemId=23926978142&vendorItemId=90949151023&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=9&rank=9,
