Name,Price,Link,Img_url
"하겐다즈 그린티 (냉동), 100ml, 1개입, 1개","7,650원",https://www.coupang.com/vp/products/6570634226?itemId=14747684219&vendorItemId=81988085310&sourceType=srp_product_ads&clickEventId=2433d550-b6e8-11f0-ada1-9db152d1901b&korePlacement=15&koreSubPlacement=1&clickEventId=2433d550-b6e8-11f0-ada1-9db152d1901b&korePlacement=15&koreSubPlacement=1,
"빙그레 메로나 비비빅 누가바 스크류 죠스바 아이스크림, 40개, 70g","29,850원",https://www.coupang.com/vp/products/7135851102?itemId=17904621439&vendorItemId=85067377232&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=1&rank=1,
"투게더 5종 혼합세트 (바닐라1 딸기1 아몬드1 초코1 쿠앤크1), 1개","50,000원",https://www.coupang.com/vp/products/8639592145?itemId=25071456542&vendorItemId=92075543235&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=2&rank=2,
"하이디 O K 삼색 아이스크림류 (냉동), 5L, 1개입, 1개","15,000원",https://www.coupang.com/vp/products/6260601482?itemId=12744880751&vendorItemId=80011222678&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=3&rank=3,
"네이처트리 바닐라 아이스크림 (냉동), 2L, 1개입, 1개","12,900원",https://www.coupang.com/vp/products/8186071642?itemId=23410893802&vendorItemId=90437984008&sourceType=srp_product_ads&clickEventId=2433d550-b6e8-11f0-b028-4dbafdc1d89c&korePlacement=15&koreSubPlacement=5&clickEventId=2433d550-b6e8-11f0-b028-4dbafdc1d89c&korePlacement=15&koreSubPlacement=5,
"하겐다즈 바닐라 (냉동), 100ml, 1개입, 1개","7,000원",https://www.coupang.com/vp/products/116375961?itemId=14747684208&vendorItemId=81988085293&sourceType=srp_product_ads&clickEventId=2433fc60-b6e8-11f0-b2da-d38cba5edb60&korePlacement=15&koreSubPlacement=6&clickEventId=2433fc60-b6e8-11f0-b2da-d38cba5edb60&korePlacement=15&koreSubPlacement=6,
"빙그레 떡붕어싸만코 아이스크림류 (냉동), 150ml, 1개입, 30개","28,800원",https://www.coupang.com/vp/products/1999863328?itemId=7096865525&vendorItemId=74388814769&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=6&rank=6,
"롯데웰푸드 조안나 바닐라맛(냉동), 5L, 1개입, 1개","18,000원",https://www.coupang.com/vp/products/303086049?itemId=953238632&vendorItemId=5348778009&pickType=COU_PICK&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=7&rank=7,
"라라스윗 초콜릿 아이스밀크 (냉동), 474ml, 1개입, 1개","7,750원",https://www.coupang.com/vp/products/230295506?itemId=730304113&vendorItemId=4846696954&sourceType=srp_product_ads&clickEventId=2433fc60-b6e8-11f0-bf19-a340d05a3a14&korePlacement=15&koreSubPlacement=9&clickEventId=2433fc60-b6e8-11f0-bf19-a340d05a3a14&korePlacement=15&koreSubPlacement=9,
"막대 아이스크림 16종 베스트 세트 메로나 비비빅 스크류바 죠스바 돼지바 옥동자 캔디바 쿠앤크바, 80개, 74ml","55,500원",https://www.coupang.com/vp/products/8620970053?itemId=25011683897&vendorItemId=92016619769&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=9&rank=9,
"하겐다즈 초콜릿 초코 아몬드 아이스크림 바 (냉동), 80ml, 3개입, 1개","17,900원",https://www.coupang.com/vp/products/8232111788?itemId=23694088764&vendorItemId=90719214047&sourceType=srp_product_ads&clickEventId=2433fc60-b6e8-11f0-a4eb-10ead3ef2f40&korePlacement=15&koreSubPlacement=11&clickEventId=2433fc60-b6e8-11f0-a4eb-10ead3ef2f40&korePlacement=15&koreSubPlacement=11,
"라라스윗 생우유 아이스밀크 (냉동), 474ml, 1개입, 1개","6,320원",https://www.coupang.com/vp/products/7856168771?itemId=21426382267&vendorItemId=88386344785&sourceType=srp_product_ads&clickEventId=2433fc60-b6e8-11f0-9103-549e39937d20&korePlacement=15&koreSubPlacement=12&clickEventId=2433fc60-b6e8-11f0-9103-549e39937d20&korePlacement=15&koreSubPlacement=12,
"코스트코 맥키스 아이스크림 2L [아이스박스] + 사은품, 1개","18,600원",https://www.coupang.com/vp/products/2282308233?itemId=19005071189&vendorItemId=75166544881&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=12&rank=12,
"빙그레 해태 아이스크림 누가바 20개 + 바밤바 20개, 40개입, 70ml, 40개","20,890원",https://www.coupang.com/vp/products/8574536963?itemId=24846281977&vendorItemId=93586257602&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=13&rank=13,
"빙그레 베스트 컬렉션 메로나 5개입 + 비비빅 5개입 + 누가바 5개입 + 쌍쌍바 5개입 세트 (냉동), 1.45L, 1세트","12,060원",https://www.coupang.com/vp/products/7341931116?itemId=18872739534&vendorItemId=86001431676&q=아이스크림&searchId=e789e7393790626&sourceType=search&itemsCount=72&searchRank=14&rank=14,
