Name,Price,Link,Img_url
"저칼로리 저당 제로콘누들 다이어트 짜장 라면 짜장면, 6개","32,000원",https://www.coupang.com/vp/products/8505593046?itemId=24618508262&vendorItemId=91629656987&sourceType=srp_product_ads&clickEventId=e1cf2900-b659-11f0-850b-7c55a15c69ed&korePlacement=15&koreSubPlacement=1&clickEventId=e1cf2900-b659-11f0-850b-7c55a15c69ed&korePlacement=15&koreSubPlacement=1,
"팔도짜장면 203g, 12개","15,290원",https://www.coupang.com/vp/products/1587100?itemId=17910002945&vendorItemId=85072692000&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=1&rank=1,
"풀무원 직화짜장면 4인분, 1.32kg, 1개","9,980원",https://www.coupang.com/vp/products/111268950?itemId=335162721&vendorItemId=3822329719&pickType=COU_PICK&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=2&rank=2,
"오뚜기 면사랑 무쇠솥에 볶은 간짜장 2인분, 1개, 610g","7,460원",https://www.coupang.com/vp/products/6590719013?itemId=14871139053&vendorItemId=82110165482&sourceType=srp_product_ads&clickEventId=e1cf2900-b659-11f0-a4c0-5c82ca048463&korePlacement=15&koreSubPlacement=4&clickEventId=e1cf2900-b659-11f0-a4c0-5c82ca048463&korePlacement=15&koreSubPlacement=4,
"면사랑 중화면 5개입 (냉동), 1.15kg, 1개","4,980원",https://www.coupang.com/vp/products/8554949194?itemId=24772476519&vendorItemId=91780560778&sourceType=srp_product_ads&clickEventId=e1cf2900-b659-11f0-bd40-d8ef6c9d86c1&korePlacement=15&koreSubPlacement=5&clickEventId=e1cf2900-b659-11f0-bd40-d8ef6c9d86c1&korePlacement=15&koreSubPlacement=5,
"팔도짜장면 203g, 8개","10,610원",https://www.coupang.com/vp/products/1587100?itemId=17910004376&vendorItemId=85072693703&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=5&rank=5,
"오뚜기 짜슐랭 145g, 40개","39,040원",https://www.coupang.com/vp/products/6480900046?itemId=14187218114&vendorItemId=81432994232&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=6&rank=6,
"중식대가 여경래 짜장면 2인분 (냉동), 1.08kg, 1개","9,980원",https://www.coupang.com/vp/products/9009414770?itemId=26406838064&vendorItemId=93382964853&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=7&rank=7,
"면사랑 직화 유니짜장 1인분 (냉동), 383g, 2개","7,960원",https://www.coupang.com/vp/products/7811866054?itemId=21259944276&vendorItemId=88320309498&sourceType=srp_product_ads&clickEventId=e1cf2900-b659-11f0-b618-df73c37281ee&korePlacement=15&koreSubPlacement=9&clickEventId=e1cf2900-b659-11f0-b618-df73c37281ee&korePlacement=15&koreSubPlacement=9,
"농심 짜파게티 140g, 20개","16,130원",https://www.coupang.com/vp/products/8821592139?itemId=26442814816&vendorItemId=70039618653&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=9&rank=9,
"오뚜기 유니짜장 2인분, 610g, 1개","7,080원",https://www.coupang.com/vp/products/116679301?itemId=349440598&vendorItemId=3852536099&sourceType=srp_product_ads&clickEventId=e1cf5010-b659-11f0-8f88-fa155b3e1b71&korePlacement=15&koreSubPlacement=11&clickEventId=e1cf5010-b659-11f0-8f88-fa155b3e1b71&korePlacement=15&koreSubPlacement=11,
"면사랑 직화 유니짜장 1인분 (냉동), 383g, 3개","11,940원",https://www.coupang.com/vp/products/7811866054?itemId=21259944296&vendorItemId=88320309545&sourceType=srp_product_ads&clickEventId=e1cf5010-b659-11f0-94e5-d7f9d5fe33a6&korePlacement=15&koreSubPlacement=12&clickEventId=e1cf5010-b659-11f0-94e5-d7f9d5fe33a6&korePlacement=15&koreSubPlacement=12,
"농심 짜파게티 140g, 10개","9,460원",https://www.coupang.com/vp/products/8821592139?itemId=25720279442&vendorItemId=84993764945&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=12&rank=12,
"농심 짜파게티 140g, 30개","24,190원",https://www.coupang.com/vp/products/8821592139?itemId=13447261183&vendorItemId=84993765340&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=13&rank=13,
"오뚜기 짜슐랭 145g, 15개","15,240원",https://www.coupang.com/vp/products/6480900046?itemId=17905187275&vendorItemId=85067936267&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=14&rank=14,
"차오차이 직화 수타식 짜장면 720g 2인분, 2개","18,960원",https://www.coupang.com/vp/products/9131584242?itemId=26877160553&vendorItemId=93846715984&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=15&rank=15,
"풀무원 직화짜장면 4인분, 1.32kg, 2개","19,960원",https://www.coupang.com/vp/products/111268950?itemId=19224585617&vendorItemId=86341248330&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=16&rank=16,
"오뚜기 짜슐랭 145g x 5p, 10개","9,760원",https://www.coupang.com/vp/products/6480900046?itemId=19154733785&vendorItemId=86273585555&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=17&rank=17,
"농심 짜파게티 140g, 40개","32,250원",https://www.coupang.com/vp/products/8821592139?itemId=18489186161&vendorItemId=3054115373&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=18&rank=18,
"오뚜기 짜슐랭, 20개","19,520원",https://www.coupang.com/vp/products/6480900046?itemId=17909998359&vendorItemId=85072687474&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=19&rank=19,
"청정원 콩담백면 매콤짜장면 4인분, 750g, 1개","11,960원",https://www.coupang.com/vp/products/8832140265?itemId=25735120336&vendorItemId=92723647728&sourceType=srp_product_ads&clickEventId=e1cf5010-b659-11f0-acdd-e5cdb34afad2&korePlacement=15&koreSubPlacement=21&clickEventId=e1cf5010-b659-11f0-acdd-e5cdb34afad2&korePlacement=15&koreSubPlacement=21,
"선화동 유니짜장면 1000g X 2, 2개",13원,https://www.coupang.com/vp/products/8670512632?itemId=25169670884&vendorItemId=92090384311&sourceType=srp_product_ads&clickEventId=e1cf5010-b659-11f0-93af-91092a415a70&korePlacement=15&koreSubPlacement=22&clickEventId=e1cf5010-b659-11f0-93af-91092a415a70&korePlacement=15&koreSubPlacement=22,
"차오차이 직화 수타식 짜장면 720g 2인분, 3개","23,940원",https://www.coupang.com/vp/products/9131584242?itemId=26877160552&vendorItemId=93846715982&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=22&rank=22,
"전통 중화 짜장면 5인분세트(면1kg+짜장소스5봉), 1세트","15,900원",https://www.coupang.com/vp/products/7790750807?itemId=16906828806&vendorItemId=84084930172&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=23&rank=23,
"팔도짜장면 203g, 32개",09원,https://www.coupang.com/vp/products/1587100?itemId=42835163&vendorItemId=3066694271&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=24&rank=24,
"팔도 짜장면, 28개","34,620원",https://www.coupang.com/vp/products/1587100?itemId=285687654&vendorItemId=91471507625&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=25&rank=25,
"트러플향이 들어간 수타식 천왕 짜장면 대용량 (1인분), 10팩","29,900원",https://www.coupang.com/vp/products/8989873882?itemId=26331780675&vendorItemId=93309028681&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=26&rank=26,
"풀무원 직화 볶음 짜장 2인분 512.8g, 1개","7,480원",https://www.coupang.com/vp/products/9016023554?itemId=26451745033&vendorItemId=93417706014&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=27&rank=27,
"팔도 짜장면_, 16개","19,900원",https://www.coupang.com/vp/products/1587100?itemId=21318519671&vendorItemId=88430302033&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=28&rank=28,
"풀무원 직화 짜장면 6인분 1980g, 1개","16,990원",https://www.coupang.com/vp/products/7030552578?itemId=2481262044&vendorItemId=92523923897&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=29&rank=29,
"하림 더미식 유니자장면, 1박스","22,980원",https://www.coupang.com/vp/products/8289288454?itemId=26523742228&vendorItemId=93875785630&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=30&rank=30,
"농심 짜파게티 140g, 5개","4,980원",https://www.coupang.com/vp/products/8821592139?itemId=13447261191&vendorItemId=3000100413&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=31&rank=31,
"차오차이 수타식 유니짜장면 720g 2인분, 3개","23,940원",https://www.coupang.com/vp/products/9131584243?itemId=26891198973&vendorItemId=93860692804&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=32&rank=32,
"온누리 짜장면 5인분 밀키트셋트 미니채단무지 2개 포함 온누리중화면250gX5봉+해스민짜장소스250gX5봉+그래도또또단무지150gX2개, 1세트","22,900원",https://www.coupang.com/vp/products/7072081860?itemId=17564997516&vendorItemId=84731777482&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=33&rank=33,
"팔도짜장면 203g, 4개","5,930원",https://www.coupang.com/vp/products/1587100?itemId=12257147&vendorItemId=3018671158&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=34&rank=34,
