브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
,갤럭시 GALAX 지포스 GT710 D3 1GB LP 무소음,"54,800원",,㈜새라씨엔씨,,,쿠팡상품번호: 7003408780 - 17183738014,https://www.coupang.com/vp/products/7003408780?itemId=17183738014&vendorItemId=87401694708&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=2&rank=2
,[SPARKLE] Arc B580 ROC LUNA OC Ultra D6 12GB,"359,000원",,주식회사코잇판매자 상품 보러가기,,[SPARKLE]B580 ROC LUNA: [SPARKLE]B580 ROC LUNA,쿠팡상품번호: 8887803698 - 25948528172,https://www.coupang.com/vp/products/8887803698?itemId=25948528172&vendorItemId=92931463397&sourceType=srp_product_ads&clickEventId=ca6c78e0-b6f3-11f0-a69c-3bb998c07d0f&korePlacement=15&koreSubPlacement=1&clickEventId=ca6c78e0-b6f3-11f0-a69c-3bb998c07d0f&korePlacement=15&koreSubPlacement=1
,MSI 지포스 RTX 3050 벤투스 2X E OC D6 6GB,"261,500원",,(주)엠티에프시스템,,,쿠팡상품번호: 8449314026 - 24443883062,https://www.coupang.com/vp/products/8449314026?itemId=24443883062&vendorItemId=91710925821&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=1&rank=1
,MSI 지포스 RTX 5060 게이밍 OC D7 8GB 트윈프로져,"489,000원",,(주)엠티에프시스템판매자 상품 보러가기,,,쿠팡상품번호: 8787757355 - 25574687976,https://www.coupang.com/vp/products/8787757355?itemId=25574687976&vendorItemId=93406670376&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=3&rank=3
,[포토리뷰1만]ASUS PRIME 지포스 RTX 5070 WHITE OC D7 12GB 인텍앤컴퍼니 [공인인증점],"995,000원",,주식회사 아미코코리아,,,쿠팡상품번호: 8870602406 - 25879258828,https://www.coupang.com/vp/products/8870602406?itemId=25879258828&vendorItemId=93070632674&sourceType=srp_product_ads&clickEventId=ca6c78e0-b6f3-11f0-b047-7c93c68c15cf&korePlacement=15&koreSubPlacement=5&clickEventId=ca6c78e0-b6f3-11f0-b047-7c93c68c15cf&korePlacement=15&koreSubPlacement=5
,이엠텍 지포스 RTX 5060 MIRACLE WHITE D7 8GB,"484,000원",,(주)클릭나라,,,쿠팡상품번호: 8829452123 - 25728012711,https://www.coupang.com/vp/products/8829452123?itemId=25728012711&vendorItemId=92716646046&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=6&rank=6
,외장그래픽카드 RTX 미니Pc GPU 어댑터없음 휴대용 독,"1,383,400원",,,,,쿠팡상품번호: 8788284999 - 25576788049,https://www.coupang.com/vp/products/8788284999?itemId=25576788049&vendorItemId=92567799652&sourceType=srp_product_ads&clickEventId=ca6c78e0-b6f3-11f0-84d0-6c9c8a140ad0&korePlacement=15&koreSubPlacement=6&clickEventId=ca6c78e0-b6f3-11f0-84d0-6c9c8a140ad0&korePlacement=15&koreSubPlacement=6
,MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,"469,000원",,(주)엠티에프시스템,,,쿠팡상품번호: 8785264424 - 25564385490,https://www.coupang.com/vp/products/8785264424?itemId=25564385490&vendorItemId=92571864383&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=8&rank=8
,MSI 지포스 GT1030 에어로 ITX OC D4 2GB,"109,000원",,(주)엠티에프시스템,,,쿠팡상품번호: 9146422566 - 26927774361,https://www.coupang.com/vp/products/9146422566?itemId=26927774361&vendorItemId=93897011014&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=10&rank=10
,MSI 지포스 RTX 5060 Ti 벤투스 2X OC 플러스 D7 16GB,"679,000원",,(주)엠티에프시스템,,,쿠팡상품번호: 8723268014 - 25340402608,https://www.coupang.com/vp/products/8723268014?itemId=25340402608&vendorItemId=92335089390&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=9&rank=9
,MSI 지포스 GT1030 에어로 ITX OC D4 2GB,"111,500원",,주식회사 씨앤엘솔루션_제트판매자 상품 보러가기,,,"칩셋 그룹: GT1030, 칩셋 제조사: NVIDIA, 가로길이: 147mm, 개수: 1, 메모리종류: DDR4, 쿠팡상품번호: 330196921 - 1055449534",https://www.coupang.com/vp/products/330196921?itemId=1055449534&vendorItemId=83211445948&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=7&rank=7
,에이수스 ASUS 지포스 GT710 SL EVO D5 2GB,"60,000원",,㈜은성이에스(ASUS),,,"가로길이: 170mm, 메모리종류: GDDR5(DDR5), 두께: 39mm, 칩셋 그룹: GT710, 비디오메모리 용량(GB): 2, 쿠팡상품번호: 8209426607 - 23559190599",https://www.coupang.com/vp/products/8209426607?itemId=23559190599&vendorItemId=90585211873&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=13&rank=13
,MSI 지포스 RTX 3050 벤투스 2X XS 8G OC,"314,000원",,(주)엠티에프시스템,,,쿠팡상품번호: 7575891450 - 19989083729,https://www.coupang.com/vp/products/7575891450?itemId=19989083729&vendorItemId=87265806448&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=11&rank=11
,[갤럭시코리아] 갤럭시 GALAX 지포스 GT1030 D5 2GB 그래픽카드,"118,000원",,㈜새라씨엔씨,,,"개수: 1, 메모리종류: GDDR5, 그래픽 브랜드: NVIDIA, GPU 모델명: 지포스 GT1030, 칩셋 그룹: 지포스 GTX10xx, 쿠팡상품번호: 8358506512 - 24153565543",https://www.coupang.com/vp/products/8358506512?itemId=24153565543&vendorItemId=87401712005&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=12&rank=12
,지포스 RTX 2060 D6 6GB OEM 게이밍 중고 그래픽카드,"169,000원",,(주)수빈인포텍판매자 상품 보러가기,,모델명/품번: RTX2060 D6 6GB OEM,"그래픽 카드 인터페이스: PCI Express 3.0 x16, 비디오 출력 인터페이스: HDMI,DVI,DP, GPU 클럭 속도: 1770 MHz, 메모리 클럭 속도: 14000MHz, 그래픽 브랜드: NVIDIA, 쿠팡상품번호: 9009769263 - 26408496846",https://www.coupang.com/vp/products/9009769263?itemId=26408496846&vendorItemId=93384592609&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=14&rank=14
,ASUS ROG Astral 지포스 RTX 5090 WHITE OC D7 32GB 인텍앤컴퍼니,"5,786,000원",,㈜은성이에스(ASUS),,,쿠팡상품번호: 8965989162 - 26238565965,https://www.coupang.com/vp/products/8965989162?itemId=26238565965&vendorItemId=93466969091&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=15&rank=15
,ASUS DUAL 라데온 RX 7600 O8G EVO OC D6 8GB -M,"326,330원",,주식회사 메이드시스템,,,"그래픽 브랜드: AMD, GPU 모델명: 라데온 RX 7600, 칩셋 제조사: AMD, 쿠팡상품번호: 8567287585 - 24816451149",https://www.coupang.com/vp/products/8567287585?itemId=24816451149&vendorItemId=91823881080&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=18&rank=18
,ASUS DUAL 지포스 RTX 3050 O6G OC D6 6GB -M,"264,000원",,(주)제삼세대,,,"그래픽 브랜드: NVIDIA, GPU 모델명: 지포스 RTX 3050, 비디오메모리 용량(GB): 6GB, 칩셋 제조사: NVIDIA, 쿠팡상품번호: 7920872074 - 21760535238",https://www.coupang.com/vp/products/7920872074?itemId=21760535238&vendorItemId=91476395018&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=17&rank=17
,갤럭시 갤럭시 갤라즈 GALAX 지포스 GT710 D3 2GB LP 무소음,"59,500원",,㈜새라씨엔씨,,,쿠팡상품번호: 6820459706 - 16163820602,https://www.coupang.com/vp/products/6820459706?itemId=16163820602&vendorItemId=87401701357&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=21&rank=21
,갤럭시 GALAX 지포스 RTX 2060 BLACK D D6 6GB 게이밍 중고 그래픽카드,"189,000원",,(주)수빈인포텍판매자 상품 보러가기,,모델명/품번: 갤럭시RTX2060 BLACK D D6 6GB,"그래픽 카드 인터페이스: PCI Express 3.0 x16, 비디오 출력 인터페이스: HDMI, GPU 클럭 속도: 1695MHz, 메모리 클럭 속도: 14000MHz, 그래픽 브랜드: NVIDIA, 쿠팡상품번호: 9009732035 - 26408327539",https://www.coupang.com/vp/products/9009732035?itemId=26408327539&vendorItemId=93384425883&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=16&rank=16
,MSI 지포스 RTX 5060 벤투스 2X OC 그래픽카드 8GB,"422,100원",,COUPANG HONG KONG TRADING LIMITED,,,쿠팡상품번호: 9126335753 - 26848879045,https://www.coupang.com/vp/products/9126335753?itemId=26848879045&vendorItemId=93818721449&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=23&rank=23
,이엠텍 지포스 RTX 3050 STORM X NANO D6 6GB 그래픽카드,"248,500원",,,,모델명: RTX 3050 STORM X NANO D6 6GB,쿠팡상품번호: 8027355611 - 22437029876,https://www.coupang.com/vp/products/8027355611?itemId=22437029876&vendorItemId=93477308427&sourceType=srp_product_ads&clickEventId=ca6c9ff0-b6f3-11f0-8271-d6473bc13887&korePlacement=15&koreSubPlacement=21&clickEventId=ca6c9ff0-b6f3-11f0-8271-d6473bc13887&korePlacement=15&koreSubPlacement=21
,이도디스플레이 라데온 RX 580 2048SP RAGE-X D5 8GB,"128,000원",,,,,쿠팡상품번호: 8891649210 - 25957656447,https://www.coupang.com/vp/products/8891649210?itemId=25957656447&vendorItemId=92940436402&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=24&rank=24
,지포스 GTX1050 2GB 게이밍 그래픽카드 랜덤발송,"69,900원",,,,,쿠팡상품번호: 7378522221 - 19049560745,https://www.coupang.com/vp/products/7378522221?itemId=19049560745&vendorItemId=86172765975&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=25&rank=25
,,,,,,,,https://www.coupang.com/vp/products/8788284420?itemId=25576785358&vendorItemId=92567796645&sourceType=srp_product_ads&clickEventId=ca6c9ff0-b6f3-11f0-aa62-2002cacf9b8d&korePlacement=15&koreSubPlacement=23&clickEventId=ca6c9ff0-b6f3-11f0-aa62-2002cacf9b8d&korePlacement=15&koreSubPlacement=23
,LG 그램 프로 16Z90SP-ED7HK Ultra7 RTX3050 외장그래픽 노트북,"2,429,000원",,(주)사랑행복씨앤씨,,,"색상계열: 화이트, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 외장그래픽카드 장착, GPU 모델명: 지포스 RTX 3050, 가전 모델: LG 그램, 쿠팡상품번호: 8866767242 - 25860639254",https://www.coupang.com/vp/products/8866767242?itemId=25860639254&vendorItemId=92846946091&sourceType=srp_product_ads&clickEventId=ca6c9ff0-b6f3-11f0-bcde-dc1d908d9576&korePlacement=15&koreSubPlacement=37&clickEventId=ca6c9ff0-b6f3-11f0-bcde-dc1d908d9576&korePlacement=15&koreSubPlacement=37
,MAXSUN 지포스 GT710 파워해머 D3 1GB 그래픽카드 디앤디컴,"50,000원",,,,,쿠팡상품번호: 7204296090 - 18216716715,https://www.coupang.com/vp/products/7204296090?itemId=18216716715&vendorItemId=93503339606&q=그래픽카드&searchId=c887c0ee4187019&sourceType=search&itemsCount=30&searchRank=26&rank=26
,ASUS ASUS PRIME 지포스 RTX 5060 OC D7 8GB 인텍앤컴퍼니,"559,000원",,주식회사 아미코코리아,,,쿠팡상품번호: 8843877874 - 25776473701,https://www.coupang.com/vp/products/8843877874?itemId=25776473701&vendorItemId=92846599858&sourceType=srp_product_ads&clickEventId=ca6c9ff0-b6f3-11f0-abfd-8a8cade78ed6&korePlacement=15&koreSubPlacement=38&clickEventId=ca6c9ff0-b6f3-11f0-abfd-8a8cade78ed6&korePlacement=15&koreSubPlacement=38
,eGPU 독 오큐링크지원 MINISFORUM 호환,"1,362,400원",,,,,쿠팡상품번호: 8788284420 - 25576785485,https://www.coupang.com/vp/products/8788284420?itemId=25576785485&vendorItemId=92567797057&sourceType=srp_product_ads&clickEventId=ca6c78e0-b6f3-11f0-a4ec-5774e48ea5de&korePlacement=15&koreSubPlacement=20&clickEventId=ca6c78e0-b6f3-11f0-a4ec-5774e48ea5de&korePlacement=15&koreSubPlacement=20
,ASUS DUAL 지포스 RTX 5050 D7 8GB 인텍앤컴퍼니,"399,000원",,주식회사 아미코코리아,,,쿠팡상품번호: 8982174662 - 26298772132,https://www.coupang.com/vp/products/8982174662?itemId=26298772132&vendorItemId=93276594816&sourceType=srp_product_ads&clickEventId=ca6c9ff0-b6f3-11f0-93ef-380144031c08&korePlacement=15&koreSubPlacement=39&clickEventId=ca6c9ff0-b6f3-11f0-93ef-380144031c08&korePlacement=15&koreSubPlacement=39
