브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
,"레몬(Lemon) 3kg, 3  kg, 1박스","8,860원",,윤농장(YoonsFruit),,,"개당 중량: 3kg, 총 수량: 1개, 쿠팡상품번호: 8959661454 - 26512446205",https://www.coupang.com/vp/products/8959661454?itemId=26512446205&vendorItemId=93486982520&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=3&rank=3
,"농장에서바로 팬시레몬, 100g, 20개","9,400원",,농장에서 바로,,,"과일 종류: 생과, 개당 중량: 100g, 섭취방법: 즉석섭취식품, 보관방법: 냉장보관, 종류: 생과, 쿠팡상품번호: 8188003692 - 24462200556",https://www.coupang.com/vp/products/8188003692?itemId=24462200556&vendorItemId=91475505492&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=1&rank=1
,과일통통배 최상급 프리미엄 칠레산 생레몬 20과 대과,"15,900원",,델.디.씨(주),,,"개당 중량: 2kg, 쿠팡상품번호: 8926814422 - 26092744330",https://www.coupang.com/vp/products/8926814422?itemId=26092744330&vendorItemId=91969663909&sourceType=srp_product_ads&clickEventId=254cd050-b6f1-11f0-8a14-23cf22ea3fa8&korePlacement=15&koreSubPlacement=5&clickEventId=254cd050-b6f1-11f0-8a14-23cf22ea3fa8&korePlacement=15&koreSubPlacement=5
,"팜플러스 상큼한 팬시 레몬, 개당 100g 내외, 22개","9,400원",,주식회사 팜플러스,,,"개당 중량: 100g, 총 수량: 22개, 쿠팡상품번호: 7393984196 - 25092352230",https://www.coupang.com/vp/products/7393984196?itemId=25092352230&vendorItemId=78698388686&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=2&rank=2
,"맛통령 프리미엄 레몬, 1박스, 레몬 4kg 40개내외","15,960원",,주식회사 에스에프유통판매자 상품 보러가기,,,"개당 중량: 4kg, 총 중량: 4kg, 과일 종류: 레몬, 쿠팡상품번호: 8297660551 - 23933982547",https://www.coupang.com/vp/products/8297660551?itemId=23933982547&vendorItemId=90955976939&sourceType=srp_product_ads&clickEventId=254ca940-b6f1-11f0-a02d-7faa7e312c60&korePlacement=15&koreSubPlacement=1&clickEventId=254ca940-b6f1-11f0-a02d-7faa7e312c60&korePlacement=15&koreSubPlacement=1
,"썬키스트 팬시레몬, 17kg, 1박스","65,900원",,트라이크코리아,,,"총 중량: 17kg, 개당 중량: 139g, 품종: 레몬, 종류: 생과, 총 수량: 1개, 쿠팡상품번호: 4873375308 - 25445579811",https://www.coupang.com/vp/products/4873375308?itemId=25445579811&vendorItemId=93422593711&sourceType=srp_product_ads&clickEventId=254cd050-b6f1-11f0-97bd-2e499d05e203&korePlacement=15&koreSubPlacement=6&clickEventId=254cd050-b6f1-11f0-97bd-2e499d05e203&korePlacement=15&koreSubPlacement=6
,"[단2주오픈특가]자연그대로 껍질째 유기농 제주 레몬, 2kg, 1박스","22,500원",,고원유통,,,"개당 중량: 2kg, 과일 종류: 생과, 쿠팡상품번호: 9143400089 - 26915885582",https://www.coupang.com/vp/products/9143400089?itemId=26915885582&vendorItemId=93885233191&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=7&rank=7
,"장보남 레몬 2kg 18-25과내외, 2kg, 1박스","10,300원",,(주)하진,,,"보관방법: 냉장보관, 총 중량: 2kg, 과일 종류: 생과, 개당 중량: 2kg, 총 수량: 1개, 쿠팡상품번호: 8295692145 - 23926978142",https://www.coupang.com/vp/products/8295692145?itemId=23926978142&vendorItemId=90949151023&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=9&rank=9
,,,,,,,,https://www.coupang.com/vp/products/6382011113?itemId=13564351376&vendorItemId=80817836924&sourceType=srp_product_ads&clickEventId=254cd050-b6f1-11f0-8279-9fffa322c7aa&korePlacement=15&koreSubPlacement=11&clickEventId=254cd050-b6f1-11f0-8279-9fffa322c7aa&korePlacement=15&koreSubPlacement=11
,"팜플러스 상큼한 팬시 레몬, 개당100g내외, 40개","15,900원",,주식회사 팜플러스,,,"개당 중량: 100g, 쿠팡상품번호: 7393984196 - 23688905698",https://www.coupang.com/vp/products/7393984196?itemId=23688905698&vendorItemId=70691575822&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=12&rank=12
,"팜플러스 상큼한 팬시 레몬, 개당 100g 내외, 22개","9,400원",,주식회사 팜플러스,,,"개당 중량: 100g, 총 수량: 22개, 쿠팡상품번호: 7393984196 - 25092352230",https://www.coupang.com/vp/products/7393984196?itemId=25092352230&vendorItemId=78698388686&sourceType=srp_product_ads&clickEventId=254cd050-b6f1-11f0-922d-820d25f75e59&korePlacement=15&koreSubPlacement=9&clickEventId=254cd050-b6f1-11f0-922d-820d25f75e59&korePlacement=15&koreSubPlacement=9
,"산지 직송 로얄 제주 레몬, GAP 인증 못난이 제주 레몬 4.5kg, 1개","39,100원",,이제주영농조합법인판매자 상품 보러가기,,,"개당 중량: 4kg, 총 수량: 1개, 쿠팡상품번호: 8438372503 - 24419084352",https://www.coupang.com/vp/products/8438372503?itemId=24419084352&vendorItemId=88277411837&sourceType=srp_product_ads&clickEventId=254cd050-b6f1-11f0-9e4d-f5f6b9f1ca97&korePlacement=15&koreSubPlacement=12&clickEventId=254cd050-b6f1-11f0-9e4d-f5f6b9f1ca97&korePlacement=15&koreSubPlacement=12
,"돌 호주산 레몬, 1kg, 1개","7,660원",,,,,"제조년월일: 2025-10-26, 개당 중량: 1kg, 총 수량: 1개, 총 중량: 1kg, 종류: 생과, 쿠팡상품번호: 7488477452 - 19576666665",https://www.coupang.com/vp/products/7488477452?itemId=19576666665&vendorItemId=86684301391&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=13&rank=13
,"곰곰 칠레산 레몬, 1kg, 1봉","5,440원",,,,,"제조년월일: 2025-10-26, 개당 중량: 1kg, 총 중량: 1kg, 총 수량: 1개, 식단관리 식품: Y, 쿠팡상품번호: 5891285014 - 10705915944",https://www.coupang.com/vp/products/5891285014?itemId=10705915944&vendorItemId=77986618485&pickType=COU_PICK&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=16&rank=16
,"장보남 레몬 5kg 45-60과내외, 5kg, 1박스","23,860원",,(주)하진,,,"보관방법: 냉장보관, 총 중량: 5kg, 과일 종류: 생과, 개당 중량: 5kg, 총 수량: 1개, 쿠팡상품번호: 8295692145 - 23926995038",https://www.coupang.com/vp/products/8295692145?itemId=23926995038&vendorItemId=90949167885&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=6&rank=6
,"상큼한 레몬 생레몬, 레몬 5개, 1개","6,900원",,농업회사법인(주)이웃사촌판매자 상품 보러가기,,,"총 수량: 5, 쿠팡상품번호: 9071894376 - 26643004540",https://www.coupang.com/vp/products/9071894376?itemId=26643004540&vendorItemId=93615680674&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=15&rank=15
,"항공직송 썬키스트 팬시 레몬 최상급 20과 40과, 팬시레몬 대과 (1..., 1개","10,400원",,비아이큐브,,,"개당 중량: 120g, 보관방법: 냉장보관, 종류: 생과, 가공방식: 생과, 쿠팡상품번호: 7606095905 - 20132620766",https://www.coupang.com/vp/products/7606095905?itemId=20132620766&vendorItemId=91403109334&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=18&rank=18
,"지구해 국산 제주 유기농 레몬 GAP 제주레몬 국산제주레몬, 제주레몬1.5kg, 1개","21,900원",,지구해,,,"개당 중량: 1.5kg, 과일 종류: 생과, 종류: 생과, 비건 여부: 비건, 총 수량: 1개, 쿠팡상품번호: 9060949579 - 26510698403",https://www.coupang.com/vp/products/9060949579?itemId=26510698403&vendorItemId=91141790180&q=레몬&searchId=4bde5af15703915&sourceType=search&itemsCount=72&searchRank=17&rank=17
