키워드,평균최종가격,로켓배지개수,평균리뷰수,상품개수
건조기,647429,31,902.86,36
세탁기,565450,28,1642.69,36
칫솔살균기,31667,33,2012.69,36
도어락,104570,28,1012.78,36
미니세탁기,96467,28,240.94,36
스팀다리미,54390,34,3123.00,36
세탁기건조기,1238824,26,1124.17,36
무전기,59915,9,21.25,36
보풀제거기,23483,28,1934.11,36
드럼세탁기,0,0,0.00,0
다리미,42386,35,2536.08,36
전동칫솔,59150,26,1569.58,36
미니건조기,256350,32,667.06,36
세탁기건조기일체형,1779308,24,730.75,36
신발건조기,63088,26,267.71,35
모기퇴치기,41828,23,1845.50,36
현관문도어락,105883,28,898.78,36
lg건조기,1032766,23,873.67,36
빨래건조기,675837,30,939.31,36
디지털도어락,117278,26,867.83,36
세탁기건조기세트,1750441,27,688.97,36
lg세탁기,970610,30,1009.69,36
스탠드,29018,30,1526.69,36
현관도어락,99921,27,906.81,36
엘지건조기,1175887,27,709.03,36
lg세탁기건조기,1771170,27,686.17,36
책상스탠드,30540,31,1961.92,36
바디드라이어,175403,17,72.56,36
lg드럼세탁기,1043207,26,669.39,36
지문인식도어락,165619,28,323.53,36
연수기,233021,8,914.50,36
소형세탁기,192448,24,589.33,36
재봉틀,131630,24,705.00,36
무선전화기,68024,27,749.69,36
전화기,37056,29,1183.44,36
세탁건조기,1443035,25,977.50,36
치솔살균기,30725,34,2131.53,36
중고세탁기,281920,16,752.89,36
세탁기10kg,301468,17,874.64,36
무타공도어락,100794,28,861.11,36
엘지세탁기,888267,27,1274.25,36
w20whn,2306225,25,867.03,36
전동치실,84640,17,1880.36,36
아기세탁기,209493,24,411.17,36
짤순이,63959,27,709.06,36
포충기,65301,23,1586.25,36
핸드미싱기,29020,25,656.42,36
led스탠드,42255,31,1884.31,36
스팀다리미추천,66225,31,2832.69,36
미니다리미,31172,33,1963.44,36
속옷세탁기,78370,19,169.33,36
핸드드라이어,179343,13,17.39,36
f21vdsk,1249299,20,1270.92,36
fy9wt,720609,11,678.03,36
세탁건조기일체형,1778990,22,787.53,36
세탁기받침대,19090,29,315.31,36
엘지세탁기건조기,1960443,31,883.78,36
미니재봉틀,24610,26,659.42,36
세탁기렌탈,563761,28,1495.58,36
물치실,47446,29,1964.28,36
미싱,146334,24,700.78,36
올인원세탁기,1732855,21,581.11,36
소형건조기,279518,31,597.86,36
w20wd,2458281,23,695.14,36
wa16cg6441by,536129,13,913.53,36
탈수기,109911,20,149.92,36
tr16mv6,0,0,0.00,0
fh25esx,2953629,4,82.61,36
독서등,22198,33,1570.86,36
브라더미싱,467912,15,325.11,36
유리문도어락,70344,22,126.97,36
번호키,55980,28,1040.92,36
손건조기,166045,12,18.47,36
분리세탁기,331693,15,122.22,36
t19mx8a,861024,14,889.75,36
엘지드럼세탁기,1039344,24,604.53,36
보플제거기,25110,30,2410.08,36
연수기렌탈,87238,2,426.14,36
무선스탠드,22097,30,1238.39,36
보풀제거기추천,23194,30,2076.72,36
벌레퇴치기,45662,23,1481.83,36
wf2420hcvvc,1982602,23,860.83,36
rd21ese,1240675,21,610.53,36
미싱기,152214,25,700.00,36
df24cb9900cr,992521,14,508.19,36
드럼세탁기15kg,899916,18,854.08,36
wd90f25ahs,2911449,15,707.92,36
t19mx8,819990,15,786.94,36
t21mx9a,780405,15,815.11,36
wd90f25ahy,3105507,13,395.11,36
wf21dg6650bw,1266813,18,707.47,36
음파전동칫솔,47475,31,1440.47,36
스탠드스팀다리미,103277,29,1962.19,36
건식다리미,30133,15,1487.25,36
wf2522hdeee,2186248,23,622.22,36
wf2420hcwwc,1806710,21,761.75,36
t17dx3a,631875,13,754.44,36
tr10wl,461320,11,2464.92,36
지문도어락,158980,33,341.50,36
번호키도어락,67356,25,1006.36,36
lg세탁기렌탈,861658,23,935.19,36
tr15wv5,423742,11,1252.06,36
칫솔면도기살균기,32719,31,2558.50,36
핸드드라이기,186514,14,17.19,36
미니탈수기,91490,20,217.11,36
세탁기배수호스,9868,19,352.25,36
칫솔살균기휴대용,24011,29,1444.50,36
t19mx8b,1191667,14,774.14,36
무선다리미,49991,27,2017.11,36
세탁기호스,11546,21,417.83,36
핸디형스팀다리미,42953,33,2406.56,36
건조기10kg,802388,22,650.08,36
드럼세탁기21kg,1077763,18,916.08,36
wf21t6000kw,981648,16,741.92,36
진공스팀다리미,103538,16,2745.56,36
핸드드라이,165035,14,17.61,36
책상스탠드조명,30757,31,1877.89,36
의류건조기,405649,29,763.50,36
인터넷전화기,46313,24,636.19,36
sc5gmr81a,949966,7,35.69,36
미니건조기5kg,285597,24,427.50,36
부라더미싱,561904,11,70.14,36
업무용무전기,61761,9,21.69,36
에어다리미,169647,11,1502.72,36
빌트인세탁기,616602,5,95.78,36
wf25dg8650bv,1528629,17,606.47,36
t17dx3,709225,14,786.58,36
도어락추천,136094,27,1046.17,36
건조기9kg,551256,17,457.28,36
fg24vns,1338811,29,815.50,36
다리미추천,64877,31,2928.94,36
바디드라이기,179345,17,81.31,36
wf19t6000kw,1106629,20,1320.97,36
솔리티도어락,107590,26,859.69,36
건조기렌탈,578870,28,1611.97,36
책상조명,42738,32,1691.47,36
논보틀구강세정기,50600,14,1073.61,36
wa2525,3542680,9,169.17,36
유무선전화기,113081,23,470.31,36
의류관리기,452475,19,118.03,36
w21wam,2107496,24,707.97,36
wf21dg6650bv,1191621,17,879.22,36
rg20wn,1375186,25,1293.69,36
tr13ml2,548373,14,1351.50,36
fy9wtb,812391,7,353.72,36
f17itp,906543,16,255.58,36
중고건조기,343324,17,461.47,36
fg21en,2095269,22,342.92,36
일체형세탁건조기,1899318,24,752.50,36
무타공도어락들락날락,91314,31,941.94,35
wd90f25chy,2898925,15,386.42,36
아파트도어락,116950,26,1592.81,36
sc5mbr80a,1248330,5,20.56,36
세탁소용보풀제거기,29177,27,1959.36,36
푸시풀도어락,174945,25,419.06,36
신발세탁기,108230,4,56.83,36
uv살균기,156860,13,83.39,36
구강세정기추천,61700,25,1883.56,36
wf24t8500kv,1432372,25,782.89,36
dv21dg8600bw,1432207,18,525.69,36
칫솔건조기,34698,33,2024.31,36
침대독서등,18521,27,831.53,36
w2520wzm,2231343,20,524.81,36
wf25dg8650bw,1480284,18,450.78,36
충전식보풀제거기,21008,30,570.44,36
lg세탁기건조기세트,2120263,27,670.08,36
두더지퇴치기,27793,16,112.81,36
s3bof,1058161,10,32.08,36
보풀기,23557,33,2422.72,36
슈드레서,289646,2,41.47,36
공업용미싱,700085,8,17.19,36
무전기무전기스토리,42712,1,30.09,35
f12wva,1082328,16,582.86,36
wf2420hceec,2079686,21,689.28,36
rh10wtw,1063924,18,652.89,36
lg건조기렌탈,1201015,22,679.75,36
날파리퇴치기,25267,27,3440.06,36
미니스팀다리미,34374,34,2000.19,36
f9wt,526554,1,210.92,36
휴대용스팀다리미,33173,34,2248.08,36
어린이전동칫솔,33217,24,1963.22,36
도어락커버,12903,6,76.67,36
f15wqwp,853310,23,1334.03,36
스텐드조명,32327,29,1234.53,36
얼굴인식도어락,305724,21,66.61,36
가정용미싱,108795,21,607.69,36
wf25cb8895be,1797191,18,388.03,36
dv21dg8600bv,1450617,17,772.92,36
강화유리도어락,57701,19,134.69,36
신발살균기,269004,18,198.86,36
드럼세탁기9kg,491253,7,465.92,36
벽걸이세탁기,269713,14,86.19,36
코스트코스팀다리미,113108,10,1392.89,36
t18wx7,524965,15,939.83,36
보풀제거,19074,33,1924.06,36
가정용모기퇴치기,30661,24,1940.56,36
lg세탁기건조기일체형,1851399,25,685.97,36
운동화세탁기,102903,5,299.19,36
보플제거,20664,33,2238.86,36
f9wtb,630811,10,624.19,36
wl21wdu,2478490,22,533.64,36
핸디스팀다리미,50997,34,2537.94,36
wd80f25chy,1755847,13,568.22,36
원룸세탁기,299915,18,792.53,36
lg세탁건조기,1588731,26,731.89,36
wl21egzu,2384015,23,839.06,36
ww90t3000kw,687667,9,362.92,36
미니세탁기소형,88894,24,161.67,36
ta25gz9,726623,11,583.31,36
모기트랩,37760,26,1146.56,36
f9wtbq,733101,9,558.39,36
도어록,89181,31,1624.06,36
건조기세탁기,1620931,27,1107.14,36
올인원세탁건조기,1776720,21,563.94,36
f17ctp,1073600,13,684.78,36
rd22gs,1965167,15,380.03,36
tr12wl,461632,12,1270.25,36
wd80f25chw,2189504,20,632.53,36
fh25vax,2972998,15,372.33,36
휴대용독서등,15192,28,430.50,36
wf25d20ceep,1971657,28,911.08,36
iot도어락,203546,26,157.44,36
업소용모기퇴치기,54975,24,1731.67,36
wa10cg5441bw,399746,17,1230.75,36
의류탈수기,112770,21,161.61,36
휴대용건조기,46192,27,98.75,36
f9wtq,701983,8,694.69,36
fh25kax,2962950,8,101.36,36
세탁소보풀제거기,27878,29,1904.53,36
엘지세탁기건조기세트,2042095,27,626.78,36
t19mx7,687751,13,938.97,36
소형드럼세탁기,399794,11,256.72,36
jmw바디드라이어,127443,20,930.03,36
목문도어락,52914,24,996.67,36
휴대용구강세정기,47012,25,1293.19,36
해충퇴치기,44451,22,1640.61,36
사무실전화기,49246,26,883.47,36
rd22ese,1179652,17,627.72,36
어린이무전기,36200,6,25.58,36
휴대용다리미,31013,34,1952.47,36
wf25dg8650bw2t,1671107,19,649.83,36
wa18cg6k46bd,647376,16,1043.44,36
dv21dg8200bv,1174964,20,997.11,36
디지털무전기,89062,14,15.44,36
skk-atv,204121,5,238.34,35
운동화건조기,60589,24,246.66,35
tr12hn,351018,14,1077.14,36
rd22es,2032609,11,657.14,36
도어락레인커버,13445,7,71.00,36
w10egn,1440517,18,347.81,36
일반전화기,32165,25,858.56,36
wf80f25bdw,1729210,19,593.83,36
dv21dg8200bw,1315177,23,1140.19,36
wa80f19e8w,884056,15,770.72,36
미니듀얼세탁기,269007,12,108.25,36
lg건조기10kg,997531,20,545.39,36
구강세척기,50588,27,2040.00,36
방화문도어락,55905,17,751.72,36
f21wdsp,1271071,23,1136.58,36
f24wdwp,1415076,17,910.58,36
wf24d20cwwc,1864916,22,937.61,36
소형세탁기5kg,167725,16,396.64,36
도어락스티커,4030,26,329.67,36
보풀제거기c타입,21872,31,782.28,36
진공흡착스팀다리미,105230,12,1557.11,36
조류퇴치기,19971,15,193.47,36
w2520whm,641300,15,193.08,36
세탁건조일체형,1341307,24,776.14,36
dv20cb8800be,1251693,16,573.50,36
wf21cb6650bw,1597843,17,677.17,36
드럼세탁기10kg,666786,16,264.14,36
디지털생활무전기,92884,17,10.81,36
소형세탁기7kg,250088,19,717.58,36
wf2522hdbba,1934757,24,874.39,36
wd90f25aht,2870216,14,401.78,36
무전기이어폰,16208,7,58.69,36
신발소독기,294878,15,194.33,36
스텐드,28308,31,1739.81,36
wf2520hceed,2131522,24,783.89,36
칫솔살균건조기,36407,29,1959.47,36
rd20wna,1340641,17,1027.17,36
벽걸이전화기,20136,17,317.42,36
도어락설치,117872,31,963.25,36
t21mx9b,819526,15,719.06,36
드럼세탁기건조기,1244590,23,691.69,36
전기모기퇴치기,35304,25,2383.33,36
lg오브제세탁기,1843969,33,554.67,36
lg드럼세탁기24kg,1428562,28,827.39,36
wa2525egzf,3141358,14,372.33,36
wa80f19s8c,612821,11,1003.78,36
미니미싱기,23780,26,664.00,36
여행용스팀다리미,43923,34,2147.42,36
집전화기,44094,28,951.19,36
진공흡입스팀다리미,123988,13,1655.42,36
무전기스토리,109229,1,16.64,36
고성능생활무전기,75635,12,13.86,36
소형빨래건조기,250316,27,458.75,36
wf2422hdeeh,1778385,24,782.28,36
wa23a8377kv,875068,13,819.31,36
ai콤보세탁기,2723970,21,392.92,36
책상스텐드조명,28668,32,1634.42,36
국산칫솔살균기,35811,25,701.69,36
엘지오브제세탁기,1921186,31,547.89,36
lg드럼세탁기21kg,1218771,23,809.69,36
dv90t5540bv,957333,14,679.78,36
fx24ene-gng,1977244,25,467.42,36
fh25ga,3254512,8,201.64,36
rg20en,1259271,23,778.81,36
드럼세탁기19kg,863719,16,965.64,36
워키토키,54068,9,24.61,36
wf25dg8650bv2t,1661930,19,719.75,36
가정용칫솔살균기,35925,29,1735.36,36
tr15mv5,507784,10,1074.92,36
살균기,300395,18,114.00,36
업소용세탁기,1025568,17,747.50,36
t25px9a,1004960,14,648.17,36
lg올인원세탁기,2265131,22,424.86,36
w20wanq,2036491,23,752.03,36
고양이퇴치기,30182,23,260.64,36
인터넷전화,50303,22,596.28,36
wa2525gehf,3592267,11,269.08,36
sc5msr82a,1320933,12,43.97,36
포충기가정용,42165,27,1830.75,36
건설무전기,85136,11,20.14,36
wa25b8377kv,1182143,13,1001.67,36
led스탠드실버,47931,19,230.19,36
치아세정기,54417,23,2172.22,36
구강세정기,55339,25,1745.25,36
유선전화기,29444,27,777.33,36
휴대용칫솔살균기,20425,27,1385.50,36
생활무전기,68945,11,18.33,36
무선칫솔살균기,29369,29,983.72,36
일반세탁기,446231,22,1137.03,36
wa21a8376kv,919006,15,1140.72,36
sc5gmr80a,1464032,9,36.61,36
rh18wtsn,1157617,19,713.11,36
f17htp,733312,14,781.42,36
t21ez9,621335,14,911.92,36
여행용다리미,36014,31,1955.78,36
스탠드조명,34064,33,1423.47,36
wf25cb8895bv,1773244,17,642.56,36
sc5gmr5e,1206984,13,48.14,36
