키워드,순위,상품명,원가,최종가격,로켓배지,도착일,무료배송,리뷰수,포인트,재고현황,링크,이미지URL
건조기,,"[10% 환급가전] 삼성전자 AI 건조기 DV21DG8200BV 21kg 방문설치, 블랙캐비어","1,599,000원","979,000원",로켓설치,,Y,431,"48,950원",,https://www.coupang.com/vp/products/8643556970?itemId=25086486966&vendorItemId=92090282778&sourceType=srp_product_ads&clickEventId=7dfaddf0-c461-11f0-91e8-70ef5caa6f0f&korePlacement=15&koreSubPlacement=1&clickEventId=7dfaddf0-c461-11f0-91e8-70ef5caa6f0f&korePlacement=15&koreSubPlacement=1,
건조기,1,"위닉스 인버터 컴팩트 건조기 HS3P400-OEK 4kg 고객직접설치, 화이트베이지",,"318,890원",로켓배송,내일(수) 도착 보장,Y,1586,"15,147원",,https://www.coupang.com/vp/products/8090724268?itemId=24880186317&vendorItemId=91886979841&pickType=COU_PICK&q=건조기&searchId=4cdabb142253270&sourceType=search&itemsCount=36&searchRank=1&rank=1,
건조기,2,엣지홈 옷장형 건조기 겸 스타일러 세탁 빨래 소형 미니 의류 건조기 10kg,"89,800원","58,800원",판매자로켓,내일(수) 도착 보장,Y,1031,"2,940원",,https://www.coupang.com/vp/products/9036906249?itemId=26511616132&vendorItemId=93486169129&q=건조기&searchId=4cdabb142253270&sourceType=search&itemsCount=36&searchRank=2&rank=2,
건조기,3,"[10% 환급가전] 삼성전자 그랑데 건조기 DV17T8520BV 17kg 방문설치, 블랙케비어","1,499,000원","884,000원",로켓설치,,Y,5944,"44,200원",,https://www.coupang.com/vp/products/7741985162?itemId=3972008346&vendorItemId=71956362413&q=건조기&searchId=4cdabb142253270&sourceType=search&itemsCount=36&searchRank=3&rank=3,
건조기,,"[10% 환급가전] 삼성전자 그랑데 건조기 DV17T8520BV 17kg 방문설치, 블랙케비어","1,499,000원","884,000원",로켓설치,,Y,5944,"44,200원",,https://www.coupang.com/vp/products/7741985162?itemId=3972008346&vendorItemId=71956362413&sourceType=srp_product_ads&clickEventId=7dfaddf0-c461-11f0-85da-d76c013ea7ac&korePlacement=15&koreSubPlacement=5&clickEventId=7dfaddf0-c461-11f0-85da-d76c013ea7ac&korePlacement=15&koreSubPlacement=5,
건조기,,"미닉스 미니건조기 PRO플러스 MNMD-120G 3.5kg 고객직접설치, 그레이지","519,000원","275,270원",로켓배송,내일(수) 도착 보장,Y,574,"13,488원",,https://www.coupang.com/vp/products/8321193275?itemId=24017964688&vendorItemId=91038553989&sourceType=srp_product_ads&clickEventId=7dfaddf0-c461-11f0-b3fb-e4909182d62e&korePlacement=15&koreSubPlacement=6&clickEventId=7dfaddf0-c461-11f0-b3fb-e4909182d62e&korePlacement=15&koreSubPlacement=6,
건조기,4,"[10% 환급가전] 삼성전자 AI 건조기 DV21DG8200BV 21kg 방문설치, 블랙캐비어","1,599,000원","979,000원",로켓설치,,Y,431,"48,950원",,https://www.coupang.com/vp/products/8643556970?itemId=25086486966&vendorItemId=92090282778&q=건조기&searchId=4cdabb142253270&sourceType=search&itemsCount=36&searchRank=6&rank=6,
건조기,5,"[10% 환급가전] 삼성전자 인버터 건조기 DV90T5540BV 9kg 방문설치, 블랙케비어","1,100,000원","728,120원",,,Y,1575,"36,406원",,https://www.coupang.com/vp/products/4760504199?itemId=6064943053&vendorItemId=90026154251&q=건조기&searchId=4cdabb142253270&sourceType=search&itemsCount=36&searchRank=7&rank=7,
건조기,,"보아르 컴플릿S 미니 건조기 VCDM-001WH 4kg 고객직접설치, 화이트","378,000원","290,030원",로켓배송,내일(수) 도착 보장,Y,12,"14,501원",품절임박,https://www.coupang.com/vp/products/8797360748?itemId=25612806992&vendorItemId=92603267592&sourceType=srp_product_ads&clickEventId=7dfaddf0-c461-11f0-9231-01b13dee2121&korePlacement=15&koreSubPlacement=9&clickEventId=7dfaddf0-c461-11f0-9231-01b13dee2121&korePlacement=15&koreSubPlacement=9,
건조기,6,"[10% 환급가전] 삼성전자 AI 건조기 DV21DG8200BW 21kg 방문설치, 화이트","1,499,000원","929,000원",로켓설치,,Y,431,"46,450원",,https://www.coupang.com/vp/products/8643556970?itemId=25086486973&vendorItemId=92090282782&q=건조기&searchId=4cdabb142253270&sourceType=search&itemsCount=36&searchRank=9&rank=9,
건조기,,한일전기 미니 의류 건조기 HLD-5000W 5kg 고객직접설치,"599,000원","338,000원",로켓배송,내일(수) 도착 보장,Y,369,"16,393원",,https://www.coupang.com/vp/products/7623481464?itemId=20216903086&vendorItemId=93651573674&sourceType=srp_product_ads&clickEventId=7dfb0500-c461-11f0-b258-5ccfe1949561&korePlacement=15&koreSubPlacement=11&clickEventId=7dfb0500-c461-11f0-b258-5ccfe1949561&korePlacement=15&koreSubPlacement=11,
건조기,,"매직쉐프 스마트 의류 미니 건조기 MCD-L600W 6KG /2중필터/파스퇴르살균방식/양방향회전/과열자동전원차단, 매직쉐프 스마트 미니 의류건조기 MCD-L600W","416,480원","316,480원",판매자로켓,내일(수) 도착 보장,Y,137,"15,824원",,https://www.coupang.com/vp/products/8524591762?itemId=24680846816&vendorItemId=91711301842&sourceType=srp_product_ads&clickEventId=7dfb0500-c461-11f0-9a82-ce9f0bf5d078&korePlacement=15&koreSubPlacement=12&clickEventId=7dfb0500-c461-11f0-9a82-ce9f0bf5d078&korePlacement=15&koreSubPlacement=12,
